Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1705425318,535247091.0,,13.82,8,100.0
1705436664,528881540.0,926419397.0,20.9,8,100.0
1705452743,670774872.0,,20.8,8,100.0
1705505553,378955972.0,925440874.0,26.06,8,100.0
1705508481,575252475.0,925440874.0,24.71,8,100.0
1706267172,20867612.0,923219385.0,28.12,8,100.0
1706334417,63176621.0,919558516.0,26.8,8,100.0
1706356614,77235682.0,919558516.0,27.11,8,100.0
1706368851,18245245.0,918728604.0,32.14,8,100.0
1706376174,54025945.6363105,918728604.0,25.56,8,100.0
1706408539,106071718.0,902238873.0,21.97,8,100.0
1706452008,333290998.0,,7.37,6,10.0
1706467209,410729416.0,926997598.0,11.2,6,10.0
1706485870,152359128.0,926997598.0,11.56,6,10.0
1706512029,293059760.0,925727725.0,11.5,6,10.0
1706520534,134584864.0,925727725.0,10.73,6,10.0
1706557556,342884489.0,918868067.0,8.5,6,10.0
1706688565,167195593.0,958508892.0,25.32,8,100.0
1706706726,147902229.0,958508892.0,22.71,8,100.0
1706754485,169869779.0,970614714.0,22.74,8,100.0
1706774202,97046984.0,969831045.0,22.19,8,100.0
1706859497,54025945.6363105,984173273.0,7.57,6,10.0
1706892975,54025945.6363105,968805185.0,2.06,6,10.0
1706910641,54025945.6363105,,9.78,6,10.0
1706934175,263036105.0,,9.65,6,10.0
1706968880,261828733.0,,8.16,6,10.0
1706979455,54025945.6363105,973394706.0,12.74,6,10.0
1707015043,266122223.0,970366562.0,5.44,6,10.0
1707048089,125358407.0,969084536.0,19.64,8,100.0
1707074547,75288844.0,967905465.0,33.59,10,100.0
1707085546,54025945.6363105,,23.33,8,100.0
1707214982,243898789.0,968356740.0,47.44,10,100.0
1707225914,85039747.0,967417426.0,41.25,10,100.0
1707240494,176161375.0,967417426.0,5.84,6,10.0
1707250440,238866269.0,967417426.0,11.85,6,10.0
1707268526,438101755.0,967153541.0,2.66,6,10.0
1707295598,424935742.0,967153541.0,1.65,6,10.0
1707345282,54025945.6363105,966206937.0,24.63,8,100.0
1707353365,91803498.0,,30.5,8,100.0
1707496736,54025945.6363105,968465229.0,26.5,8,100.0
1707507640,192151561.0,,25.9,8,100.0
1707523840,54025945.6363105,970564663.0,21.73,13,100.0
1707550036,54025945.6363105,972189425.0,22.86,8,100.0
1707590392,103704166.0,969092873.0,22.33,8,100.0
1707596700,164993648.0,969092873.0,22.7,8,100.0
1707673564,103471656.0,958444375.0,32.05,8,100.0
1707682652,225601961.0,958444375.0,32.17,8,100.0
1707728373,206727988.0,968156562.0,25.01,8,100.0
1707736481,94214742.0,967379025.0,25.13,8,100.0
1707762580,148583375.0,954936730.0,26.08,8,100.0
1707864155,124311543.0,970979045.0,6.14,6,10.0
1707868320,54025945.6363105,970979045.0,10.82,6,10.0
1707912044,164260071.0,,9.53,6,10.0
1707942697,54025945.6363105,978271131.0,5.4,6,10.0
1707961850,54025945.6363105,976909493.0,10.32,6,10.0
1707994314,70569200.0,,19.09,8,100.0
1707999377,121530329.0,,20.32,8,100.0
