Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1705407339,883354526.0,903256339.0,2.19,4,40.0
1705444260,729026692.0,925791175.0,1.26,4,40.0
1705500145,831731522.0,919005544.0,5.42,4,40.0
1705597488,708501335.0,915241782.0,6.54,4,40.0
1705605337,932291718.0,914124704.917663,1.8,4,40.0
1705621035,886001099.2432805,915241782.0,1.24,4,40.0
1705856132,922082032.0,925040241.0,4.89,4,40.0
1705867914,929669062.0,925040241.0,-4.61,4,40.0
1705973554,931557759.0,926159475.0,3.69,4,40.0
1705999254,886001099.2432805,924740145.0,3.89,4,40.0
1706008350,584005834.0,895169923.0,1.4,4,40.0
1706033363,569702592.0,897165573.0,9.02,4,40.0
1706048560,685566769.0,897165573.0,8.42,4,40.0
1706054726,806304651.0,897165573.0,-4.82,4,40.0
1706129705,640573188.0,914124704.917663,4.48,4,40.0
1706143785,519099261.0,914124704.917663,0.91,4,40.0
1706191094,603038047.0,914124704.917663,6.23,4,40.0
1706207421,886001099.2432805,890242893.0,-0.62,4,40.0
1706216921,714822066.0,890242893.0,2.13,4,40.0
1706223407,613260716.0,914124704.917663,0.69,4,40.0
1706256780,897634113.0,882110823.0,0.8,4,40.0
1706312615,654655961.0,878865116.0,3.51,4,40.0
1706345190,775531426.0,914124704.917663,4.32,4,40.0
1706353099,886001099.2432805,895757299.0,4.0,4,40.0
1706378653,549602893.0,904189887.0,4.56,4,40.0
1706385220,854662072.0,904189887.0,6.01,4,40.0
1706396918,793668761.0,894491826.0,4.0,4,40.0
1706410477,692342917.0,909127501.5667794,4.5,4,40.0
1706453592,848930228.0,907772123.0,3.3,4,40.0
1706474435,765933449.0,885728161.0,3.71,4,40.0
1706494568,619394989.0,914509019.0,3.72,4,40.0
1706523086,645352127.0,921384191.0,4.27,4,40.0
1706532503,738303395.0,921384191.0,5.38,4,40.0
1706553503,886001099.2432805,742604976.0,4.16,4,40.0
1706602696,896198543.0,878130629.0,3.31,4,40.0
1706627748,691904361.0,878130629.0,4.1,4,40.0
1706653541,839650170.0,914124704.917663,1.93,4,40.0
1706660512,935014704.0,907127043.0,3.44,4,40.0
1706723448,931868326.0,915041584.0,3.23,4,40.0
1706731831,870004377.0,926365810.0,4.14,4,40.0
1706748903,932812883.0,926365810.0,0.13,4,40.0
1706795830,886001099.2432805,914124704.917663,0.43,4,40.0
1706822555,886001099.2432805,916142408.0,2.77,4,40.0
1706913261,934700225.0,927570654.0,7.29,4,40.0
1706923366,935647218.0,927570654.0,4.79,4,40.0
1707038533,934807560.0,914124704.917663,4.42,4,40.0
1707080664,936600914.0,914124704.917663,3.38,4,40.0
1707162798,886001099.2432805,924846714.0,2.68,4,40.0
1707175616,932447466.0,927206109.0,4.71,4,40.0
1707194474,886001099.2432805,914124704.917663,4.53,4,40.0
1707238285,884423992.0,924375731.0,1.53,4,40.0
1707292126,921267081.0,917924853.0,0.68,4,40.0
1707298695,935126622.0,917924853.0,0.17,4,40.0
1707317680,633584275.0,926733229.0,1.65,4,40.0
1707344858,886001099.2432805,911214548.0,3.76,4,40.0
1707372533,924004570.0,917766373.0,3.95,4,40.0
1707402429,927884624.0,841535931.0,-1.88,4,40.0
1707417966,828536096.0,915723389.0,10.17,4,40.0
1707437814,933807209.0,917663580.0,-0.89,4,40.0
1707443475,630563542.0,917663580.0,-1.05,4,40.0
1707469783,608285507.0,916461197.0,-4.28,4,40.0
1707514538,890556487.0,926941647.0,1.62,4,40.0
1707585966,749154111.0,922851922.0,0.41,4,40.0
1707618750,907651742.0,925996122.0,0.45,4,40.0
1707640211,932110292.0,924942091.0,0.49,4,40.0
1707673855,934178413.0,926681310.0,1.86,4,40.0
1707689466,810821798.0,926681310.0,5.55,4,40.0
1707777234,926426067.0,924997525.0,5.51,4,40.0
1707785900,929405569.0,914124704.917663,-0.82,4,40.0
1707844962,886001099.2432805,911738792.0,3.54,4,40.0
1707887241,873232864.0,914926666.0,1.96,4,40.0
1708041503,816721833.3144059,916984434.0,-2.72,4,40.0
1708044648,910269868.0,914124704.917663,-1.93,4,40.0
1708074357,930614503.0,911111057.0,-0.5,4,40.0
1708122299,904293705.0,919133704.0,2.36,4,40.0
1708137228,938007084.0,926155307.0,1.55,4,40.0
1708178480,624480841.0,917470613.0,3.82,4,40.0
1708565639,932249870.0,926050125.0,-0.37,4,40.0
1708666301,932967837.0,925983380.0,3.46,4,40.0
1708786232,934749803.0,927858504.0,-0.74,4,40.0
1708815358,927574132.0,925212143.0,1.36,4,40.0
1708865133,886001099.2432805,914620233.0,-0.29,4,40.0
1708878784,784911172.0,914620233.0,-3.88,4,40.0
1708893377,482556919.0,914124704.917663,2.43,4,40.0
1708942491,819673662.0,904926562.0,-2.54,4,40.0
1708975457,928727988.0,926365254.0,-3.0,4,40.0
1708997254,932280833.0,923482037.0,-5.03,4,40.0
1709019012,886001099.2432805,927827092.0,-1.89,4,40.0
1709048380,886001099.2432805,926418325.0,-2.58,4,40.0
1709064577,912037932.9757162,926418325.0,-1.33,4,40.0
1709086181,886001099.2432805,911605161.0,-1.02,4,40.0
1709105300,932003663.0,918185115.0,-1.71,4,40.0
1709133062,914517113.0,914124704.917663,1.17,4,40.0
1709154075,886001099.2432805,923224786.0,-1.52,4,40.0
1709167912,931030490.0,927205321.0,-1.72,4,40.0
1709191249,911528073.0,914124704.917663,-0.43,4,40.0
1709204003,904263729.0,914124704.917663,0.01,4,40.0
1709243127,654730166.0,925904274.0,-0.53,4,40.0
1709320091,931243046.0,937010371.0,1.81,4,40.0
1709340265,861562039.0,937010371.0,-0.64,4,40.0
1709359738,915407857.0,924918691.0,0.09,4,40.0
1709369521,934860456.0,924918691.0,1.25,4,40.0
1709374539,929451910.0,924918691.0,0.62,4,40.0
1709390254,913943091.0,904716122.0,0.73,4,40.0
1709414568,934755458.0,926523791.0,-0.79,4,40.0
1709422775,700686282.0,928410072.0,-0.32,4,40.0
1709488433,694676374.0,925538465.0,-2.48,4,40.0
1709510177,886001099.2432805,925538465.0,-0.02,4,40.0
1709536681,929374064.0,924637321.0,0.61,4,40.0
1709557251,886001099.2432805,914124704.917663,0.66,4,40.0
1709572120,886001099.2432805,977274444.0,-0.1,4,40.0
1709576124,886001099.2432805,977274444.0,0.47,4,40.0
1709592356,986447724.0,975806289.0,3.41,4,40.0
1709621294,988362188.0,975918520.0,2.92,4,40.0
1709689469,973502387.0,972558081.0,4.13,4,40.0
1709757435,986609499.0,914124704.917663,4.54,4,40.0
1709775135,988494028.0,914124704.917663,-1.43,4,40.0
1709802821,985800835.0,968306103.0,1.69,4,40.0
1709834459,965713822.0,957458000.0,6.24,4,40.0
1709930632,989157202.0,976852815.0,-0.36,4,40.0
1709938861,983354425.0,967103820.0,-0.33,4,40.0
1709986589,886001099.2432805,978750869.0,0.49,4,40.0
1709996498,988128805.0,978750869.0,-0.59,4,40.0
1710036486,959659826.0,977695391.0,-0.15,4,40.0
1710159765,983042555.0,967887157.0,-0.03,4,40.0
1710171236,954569968.0,909127501.5667794,2.43,4,40.0
1710255461,980262645.0,968700615.0,-0.31,4,40.0
1710284554,989489880.0,968700615.0,-0.61,4,40.0
1710363453,987969492.0,978794686.0,0.49,4,40.0
1710444201,989494283.0,973717216.0,-1.94,4,40.0
1710544083,984198846.0,914124704.917663,4.06,4,40.0
1710594026,974231766.0,973450007.0,0.32,4,40.0
1710710436,965582657.0,976330626.0,1.69,4,40.0
1710726503,984353771.0,976330626.0,3.63,4,40.0
1710811359,988005406.0,966888253.0,5.47,4,40.0
1710837995,986577765.0,965595645.0,0.29,4,40.0
1710996277,979163793.0,963487237.0,-1.78,4,40.0
1711014030,987186169.0,976371339.0,-1.47,4,40.0
1711035028,886001099.2432805,976371339.0,0.73,4,40.0
1711046303,906758362.0,968101761.0,-1.0,4,40.0
1711062183,986553370.0,914124704.917663,0.8,4,40.0
1711105648,982621601.0,965320513.0,-0.26,4,40.0
1711110147,967104932.0,914124704.917663,-0.0,4,40.0
1711149748,986555837.0,966319609.0,-0.82,4,40.0
1711156944,982154505.0,966319609.0,-0.85,4,40.0
1711222736,983083311.0,966536913.0,1.16,4,40.0
1711229480,986186862.0,966536913.0,-0.87,4,40.0
1711283713,987019308.0,965792614.0,0.85,4,40.0
1711312199,987236130.0,966371700.0,2.37,4,40.0
1711381476,988860733.0,962914466.0,0.33,4,40.0
1711394112,988652402.0,966746206.0,-1.08,4,40.0
1711402618,987919237.0,966746206.0,-0.01,4,40.0
1711418900,964326775.0,964325136.0,2.87,4,40.0
1711468861,958409106.1862954,960614725.0,1.21,4,40.0
1711491086,982831464.0,960614725.0,0.82,4,40.0
1711524807,982399668.0,967154218.0,0.64,4,40.0
1711537373,886001099.2432805,914124704.917663,0.46,4,40.0
1711551725,988230945.0,976282786.0,0.29,4,40.0
1711553175,983337255.0,976282786.0,0.29,4,40.0
1711569604,903608406.0,973515579.0,-0.99,4,40.0
1711576988,988019352.0,965532643.0,0.95,4,40.0
1711639413,886001099.2432805,975494642.0,-1.15,4,40.0
1711651714,971818487.0,975494642.0,0.71,4,40.0
1711674245,986658672.0,966368414.0,-0.17,4,40.0
1711724966,988863453.0,974166059.0,1.44,4,40.0
1711744120,886001099.2432805,966480520.0,3.5,4,40.0
1711749820,985194605.0,966480520.0,2.32,4,40.0
1711830294,937218025.0,914124704.917663,2.05,4,40.0
1711852816,922218211.0,952973360.0,3.11,4,40.0
1711894772,886001099.2432805,975232253.0,1.41,4,40.0
1711909315,988944131.0,975232253.0,0.86,4,40.0
1711917578,971496126.0,976384520.0,3.34,4,40.0
1711974388,890849201.0,963175745.0,4.33,4,40.0
1711989768,985193669.0,963175745.0,1.36,4,40.0
1712004221,981889070.0,979224399.0,2.67,4,40.0
1712004351,985137053.0,979224399.0,2.77,4,40.0
1712016037,986191152.0,914124704.917663,0.5,4,40.0
1712053051,985768318.0,975596085.0,1.64,4,40.0
1712065159,987290040.0,963693435.0,3.59,4,40.0
1712086935,979056537.0,914124704.917663,3.1,4,40.0
1712141550,988184384.0,966423066.0,-2.39,4,40.0
