Unnamed: 0,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
0,1705455048,4823459.0,897462960.0,12.01,7,10.0
1,1705483575,944297383.0,887334014.0,22.82,7,10.0
2,1705512908,95473078.0,918293049.0,24.3,7,10.0
3,1705541152,31090256.0,931361548.0,-7.13,7,10.0
4,1705621170,932098595.0,920807336.0,0.66,7,10.0
5,1705631857,943472691.0,920807336.0,5.76,7,10.0
6,1705659877,561767569.0,928084059.0,4.83,7,10.0
7,1705693678,938763431.0,925650078.0,28.57,9,20.0
8,1705702153,895236966.8,925650078.0,20.3,7,10.0
9,1705728768,938212719.0,905940983.0,18.1,7,10.0
10,1705746505,940628157.0,908593648.0,16.95,7,10.0
11,1705765181,942146713.0,914995744.0,17.19,7,10.0
12,1705771961,938743812.0,930560167.0,15.95,7,10.0
13,1705786857,940208397.0,927937563.0,8.7,7,10.0
14,1705804689,764606520.2,934493267.0,9.37,7,10.0
15,1705833767,942618903.0,887455306.0,8.96,7,10.0
16,1705849352,941782160.0,919550102.0,10.69,7,10.0
17,1705856069,742009737.8,919550102.0,9.44,7,10.0
18,1705874754,640890228.0,928831314.0,25.73,9,10.0
19,1706147709,935118487.0,934596816.0,9.49,7,10.0
20,1706175953,939443249.0,922437611.0,6.11,7,10.0
21,1706195927,942408716.0,909693973.0,12.09,7,10.0
22,1706213938,942184774.0,909693973.0,17.85,9,20.0
23,1706257712,942725080.0,927007405.0,5.75,7,10.0
24,1706289962,917730237.8,939813669.0,21.28,7,10.0
25,1706292176,937377186.0,939813669.0,21.33,7,10.0
26,1706373821,941204452.0,931821022.0,21.55,7,10.0
27,1706529295,942051088.0,923631011.0,21.19,7,10.0
28,1706531094,939419191.0,923631011.0,20.99,7,10.0
29,1706547630,939014034.0,923631011.0,21.49,7,10.0
30,1706570594,881592475.0,920172276.0,10.66,7,10.0
31,1706634044,228328166.0,919500248.0,6.54,7,10.0
32,1706647154,936001772.0,919500248.0,7.85,7,10.0
33,1706653907,919177657.0,879238493.0,7.88,7,10.0
34,1706665971,565610831.0,879238493.0,7.3,30,20.0
35,1706715907,939996143.0,919183192.0,14.78,7,10.0
36,1706840148,610429128.0,919812660.0,9.17,7,10.0
37,1706912270,939787179.0,928179141.0,6.42,7,10.0
38,1706927111,940728218.0,931762257.0,7.93,7,10.0
39,1706977988,340264579.0,919451818.0,23.28,6,10.0
40,1706996042,941048577.0,929098801.0,20.69,6,10.0
41,1707004044,632178077.8,929098801.0,5.57,6,10.0
42,1707082158,737579616.6,923692630.0,9.36,6,10.0
43,1707123783,939004033.0,923535436.0,10.01,6,10.0
44,1707149313,939052518.0,917028243.0,18.6,6,10.0
45,1707165561,941408158.0,917028243.0,15.36,6,10.0
46,1707182608,941936527.0,917028243.0,9.41,6,10.0
47,1707208407,875116847.0,921436390.0,10.26,6,10.0
48,1707221704,895465655.6,918607117.0,8.52,6,10.0
49,1705411064,943827221.0,917192729.0,31.95,7,20.0
50,1705431834,932612634.0,924979911.4,23.35,7,20.0
51,1705447731,21495850.0,911060086.0,22.98,7,10.0
52,1705484467,18297754.0,897050398.0,31.87,7,10.0
53,1705557597,816820361.4997505,917993047.6412772,21.81,7,10.0
54,1705688026,42624720.0,911737838.0,29.68,7,10.0
55,1705718140,748496416.8,887076628.0,29.68,7,10.0
56,1705741212,27158110.0,908913054.0,29.41,7,10.0
57,1705792096,33292332.0,910583944.0,18.1,7,10.0
58,1705877051,24641565.0,905865168.0,32.62,7,10.0
59,1705890209,35546790.0,866494708.0,30.07,7,10.0
60,1705912876,33292394.0,917400564.0,31.08,7,10.0
61,1705968011,816820361.4997505,917993047.6412772,30.21,7,10.0
62,1705992917,40999335.0,905425990.0,29.53,7,10.0
63,1705997602,44512231.0,905425990.0,30.4,7,10.0
64,1706149813,40789663.0,922329755.0,17.77,7,10.0
65,1706293672,33239897.0,922558927.0,30.45,7,10.0
66,1706313041,79377227.0,922558927.0,29.56,7,10.0
67,1706643973,939364789.0,927994028.0,17.16,7,20.0
68,1706718299,934387194.0,927666358.0,23.7,7,10.0
