Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1705407339,688001934.8,903256339.0,2.19,4,40.0
1705444260,729026692.0,920571696.2,1.26,4,40.0
1705500145,831731522.0,919005544.0,5.42,4,40.0
1705597488,708501335.0,915241782.0,6.54,4,40.0
1705605337,932291718.0,915241782.0,1.8,4,40.0
1705621035,861956684.0,915241782.0,1.24,4,40.0
1705856132,922082032.0,925040241.0,4.89,4,40.0
1705867914,929669062.0,925040241.0,-4.61,4,40.0
1705973554,931557759.0,926159475.0,3.69,4,40.0
1705999254,644289340.0,924740145.0,3.89,4,40.0
1706008350,584005834.0,895169923.0,1.4,4,40.0
1706033363,569702592.0,897165573.0,9.02,4,40.0
1706048560,685566769.0,897165573.0,8.42,4,40.0
1706054726,806304651.0,897165573.0,-4.82,4,40.0
1706129705,640573188.0,854697118.0,4.48,4,40.0
1706143785,519099261.0,866371347.8,0.91,4,40.0
1706191094,603038047.0,859063541.0,6.23,4,40.0
1706207421,522841627.0,890242893.0,-0.62,4,40.0
1706216921,714822066.0,890242893.0,2.13,4,40.0
1706223407,613260716.0,885192589.6,0.69,4,40.0
1706256780,897634113.0,920222294.6,0.8,4,40.0
1706312615,609042274.0,878865116.0,3.51,4,40.0
1706345190,775531426.0,895757299.0,4.32,4,40.0
1706353099,884685473.0,922080368.6,4.0,4,40.0
1706378653,549602893.0,904189887.0,4.56,4,40.0
1706385220,854662072.0,904189887.0,6.01,4,40.0
1706396918,793668761.0,905900256.8,4.0,4,40.0
1706410477,457908887.6,894491826.0,4.5,4,40.0
1706453592,848930228.0,907772123.0,3.3,4,40.0
1706474435,765933449.0,885728161.0,3.71,4,40.0
1706494568,619394989.0,914509019.0,3.72,4,40.0
1706523086,645352127.0,921384191.0,4.27,4,40.0
1706532503,738303395.0,921384191.0,5.38,4,40.0
1706553503,768504693.0,742604976.0,4.16,4,40.0
1706602696,896198543.0,878130629.0,3.31,4,40.0
1706627748,691904361.0,878130629.0,4.1,4,40.0
1706653541,839650170.0,915517107.0,1.93,4,40.0
1706660512,935014704.0,907127043.0,3.44,4,40.0
1706723448,931868326.0,915041584.0,3.23,4,40.0
1706731831,870004377.0,926365810.0,4.14,4,40.0
1706748903,932812883.0,926365810.0,0.13,4,40.0
1706795830,923849778.0,915509325.0,0.43,4,40.0
1706822555,933023671.0,916142408.0,2.77,4,40.0
1706913261,934700225.0,920087999.0,7.29,4,40.0
1706923366,935647218.0,927570654.0,4.79,4,40.0
1707038533,934807560.0,918554367.0,4.42,4,40.0
1707080664,925628009.2,926104638.0,3.38,4,40.0
1707162798,928670870.0,924846714.0,2.68,4,40.0
1707175616,932447466.0,927206109.0,4.71,4,40.0
1707194474,603668040.0,923243482.0,4.53,4,40.0
1707238285,884423992.0,924375731.0,1.53,4,40.0
1707292126,921267081.0,917924853.0,0.68,4,40.0
1707298695,935126622.0,917924853.0,0.17,4,40.0
1707317680,816346952.1375427,914123788.639504,1.65,4,40.0
1707344858,934865721.0,920555958.8,3.76,4,40.0
