Unnamed: 0,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
0,1705595426,666143093.0,910688529.0,31.98,7,6.0
1,1705599434,883480050.0,910688529.0,31.98,7,6.0
2,1705622040,927258074.0,910845770.0,38.49,7,6.0
3,1705669525,695836077.0,925419831.2649059,37.32,7,6.0
4,1705683719,627802132.0,899050770.0,34.91,7,6.0
5,1705702924,902201015.0,899050770.0,33.93,7,6.0
6,1705747232,523241464.0,899311970.0,40.99,7,6.0
7,1705775692,876920294.0,921224095.0,36.84,7,6.0
8,1705786886,861670257.0,920081613.0,35.68,9,6.0
9,1705834378,839157582.0,921908203.0,34.24,7,100.0
10,1705854276,792570172.0,920916844.0,27.28,7,6.0
11,1705862063,702964717.0,920916844.0,30.98,7,6.0
12,1705964909,851601270.0,815737292.0,28.58,7,6.0
13,1705989379,813851814.0,894318799.0,44.57,7,6.0
14,1706005336,437572427.0,894318799.0,29.33,7,100.0
15,1706045709,386811524.0,894017104.0,30.71,7,6.0
16,1706078663,535388824.0,926469857.0147724,29.65,7,6.0
17,1706093901,754257020.3385413,890148493.0,39.82,7,6.0
18,1706127534,583585614.0,883160177.0,46.03,9,6.0
19,1706164100,750147160.8949716,918932886.0708466,36.64,7,100.0
20,1706220810,292135742.0,885419300.0,34.06,7,6.0
21,1706289663,326633008.0,860480378.0,36.86,6,100.0
22,1706372473,261200320.0,864029950.0,33.9,7,6.0
23,1706388109,753931068.163274,864029950.0,46.07,7,6.0
24,1706404112,328623833.0,893704139.0,42.54,7,6.0
25,1706410623,423207008.0,893704139.0,43.68,7,6.0
26,1706562697,753948433.9456468,789841135.0,39.82,7,6.0
27,1706570241,439406871.0,883951822.0,33.92,7,6.0
28,1706601874,459527058.0,884005267.0,32.36,7,6.0
29,1706640166,373729734.0,839328546.0,29.28,7,6.0
30,1706660076,751116169.0,905898550.0,31.62,7,6.0
31,1706665750,753910823.805305,905898550.0,38.28,7,6.0
32,1706735705,685469607.0,818623078.0,38.32,7,6.0
33,1706737514,753879163.9258695,818623078.0,37.52,7,6.0
34,1706858597,845358843.0,919132509.0,39.44,7,6.0
35,1706950099,513360529.0,920862159.0,26.05,7,6.0
36,1706957205,866231362.0,915154038.0,25.34,7,6.0
37,1706981065,753851592.973063,913917668.0,31.26,7,6.0
38,1707012735,863243083.0,919234610.0,33.35,7,6.0
39,1707066336,611581676.0,920283968.0,32.95,7,6.0
40,1707094952,824341196.0,916508219.0,49.38,9,6.0
41,1707167729,753595960.1841757,922343221.0,37.53,7,6.0
42,1707210897,660184538.0,932032929.0,27.85,7,6.0
43,1707253592,925673913.0,920587725.0,33.75,7,6.0
44,1707337962,745220392.0,895255382.743578,32.35,9,6.0
45,1707347549,76388986.0,404699242.0,31.28,9,6.0
46,1707392113,834458574.0,920253636.0,32.08,7,6.0
47,1707415080,888330031.0,917437635.4605713,29.98,7,6.0
48,1707436290,753630061.2643719,920702617.0,27.48,7,6.0
49,1707489430,785647100.0,920393704.0,38.17,7,6.0
50,1707514639,676232959.6799066,880077753.0,42.4,9,6.0
51,1707533943,870919790.0,920652996.0,43.67,7,6.0
52,1707543841,857503062.0,920652996.0,27.09,7,6.0
53,1707582995,907541393.0,922220563.0,30.65,6,100.0
54,1707586237,612523740.0,912170451.3731537,38.38,7,6.0
55,1707606617,849243867.0,920705839.0,38.79,7,6.0
56,1707611227,753262746.5561094,920705839.0,39.25,7,6.0
57,1707659531,780455468.0,915161922.5335388,31.3,7,6.0
58,1707668380,616457029.0,923847238.0,35.22,7,6.0
59,1707682588,863142153.0,913901633.4228897,33.55,7,6.0
60,1707694614,847564404.0,888409169.0,34.86,7,6.0
61,1707737264,753422632.7357738,889232819.0,27.66,7,6.0
62,1707751345,690277925.0,889232819.0,27.43,7,6.0
63,1707778409,566071365.0,921855359.0,27.03,7,6.0
64,1707787201,755868390.0,860435635.0,25.11,7,6.0
65,1707821552,753392370.6990335,849427359.0,26.38,7,6.0
66,1707855003,748946493.0,920389274.0,36.01,7,6.0
67,1707858923,600835820.0,920389274.0,36.37,7,6.0
68,1707867969,696362037.0,907979597.0,29.36,7,6.0
69,1707935759,753156756.444207,918400570.0,33.91,7,6.0
70,1707946147,906652099.0,918400570.0,35.0,7,6.0
71,1707963741,891029104.0,920071079.0,34.19,7,6.0
72,1708084937,917241305.0,910170735.1537724,35.7,7,6.0
73,1708109578,753010782.5530775,922277095.0,35.38,7,6.0
74,1708122922,727503774.0,918311644.0,34.96,7,6.0
