Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1705398727,511113790.7871723,920966925.0,42.03,7,100.0
1705428255,512808579.0,927833308.0,38.97,9,100.0
1705487394,492011766.0,928832336.0,40.63,9,100.0
1705500661,504733824.0,885565266.6826952,45.93,9,100.0
1705582751,576248172.0,920475182.0,21.13,7,100.0
1705595044,563895164.3985538,914574799.0,30.9,7,100.0
1705604522,594341090.0,914574799.0,32.71,7,100.0
1705632164,510815841.0,891098236.34636,42.64,9,100.0
1705741383,588105000.0,911324737.0,34.67,7,100.0
1705771540,551404666.0,920563709.0,20.91,7,100.0
1705780491,538290648.0,920563709.0,29.97,7,100.0
1705795481,585202783.0,900056540.263562,30.89,7,100.0
1705841847,573294395.5095539,917011920.0,29.33,7,100.0
1705848273,537546313.0,902667260.1092637,29.33,7,100.0
1705933048,557269357.0,929461344.0,29.3,7,100.0
1705997000,538181559.9466057,916349375.0,37.29,7,100.0
1706006484,321126127.0,885917583.1327746,46.13,9,100.0
1706023987,142075764.0,904140186.7757037,28.57,7,100.0
1706039993,327846219.0,864661562.0,33.26,7,100.0
1706053597,576833230.0758171,904297639.0,28.97,7,100.0
1706099282,281806096.0,882224402.0,35.44,7,100.0
1706110342,465734390.0,882224402.0,28.22,7,100.0
1706122838,142876653.0,897894012.0,33.36,7,100.0
1706180116,469456565.0,899122983.7412803,31.78,7,100.0
1706193195,268554480.0,913522699.0,36.15,7,100.0
1706267262,409444032.3812618,873330801.0,36.61,7,3.0
1706278784,160020534.0,873330801.0,28.65,7,100.0
1706282957,339583507.0,888352006.0505311,38.48,7,100.0
1706300213,267495381.0,898314969.0,36.29,7,100.0
1706312681,239398296.0,898314969.0,37.17,7,100.0
1706330352,385613874.0,916727392.0,36.98,7,100.0
1706334080,542013155.0,916727392.0,36.11,7,100.0
1706356037,545417987.0433025,891820290.3219264,36.41,7,100.0
1706363340,550389031.4969692,904584536.0,35.34,7,100.0
1706397693,395269015.0,914043333.0,38.78,7,100.0
1706408724,480834797.0,914043333.0,37.97,7,100.0
1706439760,546518303.0,931292634.0,18.91,5,10.0
1706490112,555640061.0,860210300.9191554,18.47,5,10.0
1706534375,229062034.0,873674353.0,18.45,5,10.0
1706562263,166259899.0,859752330.0,38.87,7,100.0
1706777477,428978017.0,915760708.0,23.44,7,100.0
1706792946,487057785.44729614,919370347.0,46.44,9,100.0
1706884170,412152382.0,927360985.0,38.03,7,100.0
1706905864,317043412.0,904540636.2497299,29.05,7,100.0
1706967711,514976658.0,932551951.0,49.48,9,100.0
1707035861,508159877.09472847,918974855.0,42.31,9,100.0
1707040933,341312153.0,893067813.3666766,42.59,9,100.0
1707068280,384355859.0,918974855.0,43.15,9,100.0
1707082921,518163249.0,913732644.0,35.74,7,100.0
1707110045,587054951.0,913732644.0,31.19,7,100.0
1707125890,568125000.0,922277372.0,30.41,7,100.0
1707138958,559946421.0,922277372.0,31.4,7,100.0
1707153463,563617798.0,927883278.0,33.42,7,100.0
1707174368,452128675.5914097,911686044.0,54.8,9,100.0
1707184783,400555911.0,911264653.0,42.51,9,100.0
1707233888,346449458.0,910688073.0,42.5,9,100.0
1707235110,403859389.0,910688073.0,49.01,9,100.0
1707242997,456316941.9206219,919184157.0,54.02,9,100.0
1707258032,536670343.8336735,919184157.0,16.45,5,10.0
1707298590,812755565.0,925370309.0,24.87,5,10.0
1707314421,625787872.0,923220400.0,14.03,5,10.0
1707358451,595804998.4376354,922641930.0,27.37,7,100.0
1707359710,560099087.0,922641930.0,29.95,7,100.0
1707384067,560883246.0,923902299.0,5.34,5,10.0
1707416460,544431298.0,911001690.0,17.82,5,10.0
1707446311,309801577.0,913431541.0,17.59,5,10.0
1707481972,309907814.0,849702808.7766378,25.74,5,10.0
1707485612,498397835.9388027,929599072.0,25.24,5,10.0
1707503261,567202292.1973324,929599072.0,33.89,7,100.0
1707544218,571425807.0,825702203.0,35.32,7,100.0
