Unnamed: 0,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
0,1705529645,732568230.0,925097665.0,34.99,10,100.0
1,1705776987,754585194.0,893262537.5172434,23.07,10,100.0
2,1705859832,938642010.0,910803684.0,15.66,8,10.0
3,1705918342,886463119.0,901296183.0,55.69,10,100.0
4,1705927868,647031843.0,901296183.0,22.7,10,100.0
5,1705969281,670730570.0,919498363.0,24.23,10,20.0
6,1706093685,421187906.0,880491380.0,30.32,10,100.0
7,1706109776,703250059.9956017,875512164.0,31.07,10,100.0
8,1706117726,314312730.0,875512164.0,31.07,10,100.0
9,1706134821,342465298.0,855951904.0,23.13,10,100.0
10,1706146036,543011000.0,882450796.0,31.34,10,100.0
11,1706186666,717118965.9447861,833412163.0,25.83,10,100.0
12,1706216536,571466677.0,790577986.0,41.25,10,100.0
13,1706234282,371005331.0,836583104.0,27.93,10,100.0
14,1706284745,428473005.0,834401698.0,57.19,10,100.0
15,1706289283,494581976.0,834401698.0,55.62,10,100.0
16,1706302230,418071951.0,852859161.0,32.04,10,100.0
17,1706337622,393269667.0,901807317.0,30.41,10,100.0
18,1706381013,598055919.0,859940101.0,57.84,10,100.0
19,1706393094,476159028.0,858663524.5253505,56.28,10,100.0
20,1706406205,451697735.0,859679761.0,56.43,10,100.0
21,1706450272,444169275.0,846306578.0,40.51,10,100.0
22,1706477065,367587421.0,828341341.0,29.99,10,100.0
23,1706483094,683620148.0,891938584.0,29.84,10,100.0
24,1706491491,340473580.0,888961319.97633,27.49,10,100.0
25,1706554594,368311657.0,870562551.0,57.16,10,100.0
26,1706659107,624491462.0,870072291.4709483,22.39,10,20.0
27,1706680419,937530348.0,912476264.0,24.33,10,20.0
28,1706693523,937855893.0,923901376.0,22.73,10,20.0
29,1706731118,733060287.0,905695736.0,32.21,9,100.0
30,1706737856,709728772.0,905695736.0,32.2,10,100.0
31,1706768632,899095377.0,902334700.0,31.43,10,100.0
32,1706790077,638688887.0,910540257.0,29.39,10,100.0
33,1706817094,743229033.0,848565134.0,20.99,8,10.0
34,1706830898,761582310.0,919043959.0,30.69,10,100.0
35,1706853546,759120504.0,909118073.0,27.54,10,100.0
36,1706922704,840413494.0,924654520.0,25.94,10,100.0
37,1706955330,794824024.0,891481044.0474677,25.3,10,100.0
38,1707135701,726397843.153225,890739351.4961642,26.08,10,100.0
39,1707152083,675649303.0,903087073.0,62.25,10,100.0
40,1707245179,762525039.0,917348640.0,56.39,10,100.0
41,1707252621,576666043.0,893073876.0,54.46,10,100.0
42,1707269291,818059859.0,890403897.0,56.91,10,100.0
43,1707321681,784177600.0,902468016.0,48.29,10,100.0
44,1707334183,594372764.0,905013275.0,26.96,10,100.0
45,1707380877,872210488.0,851236855.0144053,40.64,10,20.0
46,1707392436,195769207.0,906922587.0,39.26,10,20.0
47,1707407533,730704606.0,906922587.0,30.1,10,100.0
48,1707429874,923380365.0,903812114.0,23.2,10,100.0
49,1707476864,830837365.0,907125864.0,56.88,10,100.0
50,1707504989,670798190.7625694,911647426.0,31.52,10,20.0
51,1707518333,703867064.0,911647426.0,22.94,10,100.0
52,1707526202,797914745.0,911647426.0,24.39,10,100.0
53,1707559175,928531596.0,884199852.577442,32.5,10,100.0
54,1707590179,902013732.0,911948338.0,23.65,10,100.0
55,1707792441,937217088.0,912999870.0,32.08,10,20.0
56,1707812305,938847403.0,861261746.272163,31.29,10,20.0
57,1707835973,893037566.0,921249577.0,30.01,10,20.0
58,1707841781,509451337.0,862517504.2302612,30.11,10,20.0
59,1707864980,931557340.0,921333651.0,48.5,10,100.0
60,1707866364,832990023.0,866901624.7034428,49.1,10,100.0
61,1707935325,537714424.0,910218444.0,22.3,10,100.0
62,1707943141,838077846.0,910218444.0,21.9,10,100.0
63,1707962543,773317569.0,906809476.0,21.18,10,100.0
64,1708013801,574330912.0,915747613.0,54.85,10,100.0
65,1708025734,438042777.0,915747613.0,30.94,10,100.0
66,1708046507,872052329.0,919236402.0,29.71,10,100.0
67,1708079397,665215738.876831,861278132.3179214,54.55,10,100.0
68,1708085832,787425824.0,908021969.0,55.26,10,100.0
69,1708102168,938788872.0,908021969.0,32.91,10,100.0
70,1708114942,680447775.5372849,906241686.0,30.2,10,20.0
71,1708130627,655963784.5897789,906241686.0,58.47,10,100.0
72,1708174007,642153368.0,918344513.0,57.22,10,100.0
73,1708184204,875167347.0,918344513.0,46.38,10,100.0
74,1708207558,890874044.0,918133512.0,51.64,10,100.0
75,1708255583,928935382.0,909239457.0,53.31,10,100.0
76,1708304618,714029076.0,823604719.0,53.64,10,100.0
77,1708335255,891188619.0,823604719.0,53.01,10,100.0
78,1708361792,644632627.0,893283457.0,40.61,10,100.0
79,1708379777,677801288.0,873777201.0,56.71,10,100.0
80,1708392349,868014164.0,859605359.841952,56.29,10,100.0
81,1708425545,925205944.0,905393580.0,55.57,10,100.0
82,1708439811,692694164.0,905393580.0,25.05,10,20.0
83,1708443605,793196504.0,868563049.0342865,24.64,10,20.0
84,1708472369,847463572.0,906346722.0,35.03,10,100.0
85,1708509195,862559221.0,922274790.0,42.95,10,100.0
86,1708517527,697658231.3963928,922274790.0,43.37,10,100.0
87,1708534904,666161065.0,916558494.0,56.75,9,10.0
88,1708546571,750044275.0,916558494.0,13.9,9,10.0
89,1708627211,607338923.0,910690077.0,16.49,8,10.0
90,1708638829,858002417.0,910690077.0,32.87,10,100.0
91,1708644807,829053298.0,910690077.0,33.6,10,100.0
92,1708691283,719487423.0,909580710.0,36.09,10,100.0
93,1708722508,690226843.0,910531060.0,53.67,10,100.0
94,1708739460,678140826.1045456,910531060.0,52.12,10,100.0
95,1708774161,704432874.5690384,912188484.0,20.95,9,10.0
96,1708804448,704124829.7598724,912000708.0,21.2,9,10.0
97,1708896889,702966826.0,802268706.0,24.09,8,10.0
98,1708903440,907695257.0,902928251.0,56.36,10,100.0
99,1708944329,682576011.202652,906129351.0,51.2,10,100.0
100,1708971082,798107346.0,916404278.0,55.23,10,100.0
101,1708991220,666249405.7330818,878234389.0,57.94,10,100.0
102,1709087715,906809975.0,919340754.0,56.09,10,100.0
103,1709108089,888059806.0,861209141.175206,55.09,10,100.0
104,1709253279,694142978.6210175,917032599.0,47.86,10,100.0
105,1709315808,652791347.0,873866958.0651658,17.38,8,10.0
106,1709336693,870843543.0,910005680.0,16.56,8,10.0
107,1709414156,936694017.0,912579206.0,21.72,9,10.0
108,1709434757,704488282.860424,912579206.0,25.91,8,20.0
109,1709461501,918018465.0,909351846.0,18.58,9,10.0
110,1709476563,765146787.0,912894784.0,18.87,9,10.0
111,1709504360,730640565.3529472,912272979.0,34.28,10,100.0
112,1709514909,903201821.0,909642681.0,36.7,10,100.0
113,1709603919,932869416.0,912211062.0,18.07,9,10.0
114,1709683289,704383534.0,900414597.0,54.02,9,10.0
115,1709758206,936441050.0,893229242.0,40.76,10,100.0
116,1709845967,817052420.0,919920830.0,21.37,9,10.0
117,1709862261,850774431.0,915459231.0,41.32,10,100.0
118,1709883654,937321570.0,910586585.0,40.81,10,100.0
119,1709892299,921909770.0,910586585.0,37.7,10,100.0
120,1709899584,911035079.0,910586585.0,42.74,9,100.0
121,1709913986,677393050.9284058,716208872.0,57.34,10,100.0
122,1709932139,646649141.0,900829569.0,62.79,10,100.0
123,1709946873,937950247.0,912259660.0,18.26,9,10.0
124,1709947616,911701315.0,912259660.0,18.08,9,10.0
125,1710106325,470932929.0,914989613.0,56.65,10,100.0
126,1710111468,876091462.0,914989613.0,39.44,10,100.0
127,1710190413,867913819.0,856950235.0,60.5,10,100.0
128,1710231896,747638986.0,861317955.4818757,55.48,10,100.0
129,1710245703,871051386.0,909587387.0,60.43,10,100.0
130,1710295962,912696556.0,903085718.0,57.94,10,100.0
131,1710312231,757445993.0,903085718.0,57.6,10,100.0
132,1710370827,517105874.0,903772941.0,26.04,10,100.0
133,1710441993,760115402.0,903506504.0,28.03,9,10.0
134,1710463981,725730988.0,906862313.0,19.51,9,10.0
135,1710545859,784733286.0,906862812.0,17.61,9,10.0
136,1710638697,791153796.0,893222934.0,61.21,10,100.0
137,1710671765,627210658.0,862822273.1739082,54.24,10,100.0
138,1710691069,772688582.0,906443698.0,49.03,10,100.0
139,1710717395,821666289.0,915514360.0,48.22,10,100.0
140,1710744877,791937657.0,886151400.0,13.41,8,10.0
141,1710760453,818630855.0,906758498.0,57.67,10,100.0
142,1710889108,656934440.0,915862167.0,51.16,10,100.0
143,1710923960,794244050.0,905289040.0,49.48,10,100.0
144,1710926653,891077924.0,905289040.0,49.8,10,100.0
145,1710962965,708038413.5839424,902458829.0,49.45,10,100.0
146,1710976007,838969391.0,833148102.0,39.94,10,100.0
147,1710987936,838971404.0,833148102.0,44.46,10,100.0
148,1711019230,758489080.0,910186404.0,45.41,10,100.0
149,1711057832,606237397.0,910639834.0,42.46,8,10.0
150,1711064205,676594915.0,913366006.0,46.88,10,100.0
151,1711115128,506546422.0,879991310.0142348,38.1,10,100.0
152,1711126911,649751190.0,905707610.0,21.07,10,100.0
153,1711144748,738091428.478653,919581886.0,38.16,10,100.0
154,1711161697,900149932.0,878460999.0,39.62,10,100.0
155,1711189282,746752060.0,891552234.0,41.18,10,100.0
156,1711205621,783865967.0,891552234.0,53.69,10,100.0
157,1711218282,713558715.0,907489736.0,44.53,10,100.0
158,1711228504,825589791.0,907489736.0,46.2,10,100.0
159,1711237436,714576173.5737114,907808076.0,47.97,10,100.0
160,1711307649,831682794.0,907544978.0,46.58,10,100.0
161,1711330251,651324122.0,884002085.0,42.93,10,100.0
162,1711353917,729285884.0,909068508.0,46.03,10,100.0
163,1711361702,634233635.0,909068508.0,46.3,10,100.0
164,1711495642,670873792.0,867389044.3764478,50.27,10,100.0
165,1711562579,688133883.0,898879215.0,45.77,10,100.0
166,1711570529,601582398.0,898879215.0,49.16,10,100.0
167,1711584083,735163749.0,900833533.0,39.39,10,100.0
168,1711593422,871376792.0,916526271.0,63.17,10,100.0
169,1711613640,935490025.0,906127222.0,59.62,10,100.0
170,1711656928,650222757.0,906733835.0,48.6,10,100.0
171,1711689061,917296119.0,921360700.0,15.85,8,10.0
172,1711703719,789527667.0,922432583.0,18.04,9,10.0
173,1711753637,872680124.0,898840965.0,53.22,10,100.0
