Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1706029873,608702379.7880802,896198775.0,44.73,8,10.0
1706147872,942673736.0,911113836.0,19.38,6,100.0
1706188218,840645312.0,920514550.0,16.75,6,100.0
1706200955,893076332.0,910430522.0,24.15,6,100.0
1706234152,939738791.0,912700219.0,30.69,6,100.0
1706428570,921961462.0,921339318.0,17.75,6,100.0
1706446071,779961889.1356769,921339318.0,18.27,6,100.0
1706454529,586416948.0,908097391.411396,20.28,6,100.0
1706476813,679008240.0,922697265.0,20.1,6,100.0
1706561361,936329356.0,923221508.0,20.47,6,100.0
1706604326,937221118.0,896167987.0,22.82,6,100.0
1706613055,935864038.0,906790709.5078473,22.72,6,100.0
1706645609,776639599.6403785,918211872.0,19.31,6,100.0
1706704861,910952312.0,924321130.0,17.58,6,100.0
1706870267,379847738.0,910715122.0849309,16.89,6,100.0
1706898237,677906621.0,923376718.0,23.46,6,100.0
1707003270,787675890.2384076,924638570.0,16.46,6,100.0
1707432602,937969334.0,913047871.0,19.24,6,100.0
1707591349,583167116.0,922492392.0,21.37,6,100.0
1707613323,775606902.4478989,922492392.0,20.17,6,100.0
1707687516,798335333.0,925740922.0,14.01,8,20.0
1707696642,724303582.0,922280877.0,15.28,8,20.0
1707739516,896269843.0,924742457.0,11.48,8,20.0
1707753855,838699981.0,918472818.0,12.48,8,20.0
1707784760,657197472.0,912620181.0,15.9,8,20.0
1707790369,780509418.0,912620181.0,14.65,8,20.0
1707863145,937719563.0,923076579.0,12.52,8,20.0
1707903277,747008215.649776,936695235.0,18.91,8,100.0
1707906282,666686920.0,936695235.0,19.2,8,20.0
1707919973,876243980.0,924637414.0,19.16,8,20.0
1707938119,497863063.0,906492509.48315,25.91,6,100.0
1707957031,746641404.6508784,904972654.4596596,28.41,6,100.0
1708003982,293173714.0,912211154.0,27.66,6,100.0
1708015570,484696919.0,848810514.0,25.78,6,100.0
1708044675,418120620.0,909226542.6937766,21.7,6,100.0
1708069204,938529215.0,917401023.0,20.87,6,100.0
1708105879,860253513.0,909784638.0,17.24,6,100.0
1708122120,934192297.0,862181368.1485934,15.99,8,20.0
1708258170,733216731.0,923524528.0,21.04,6,100.0
1708271858,879668971.0,923524528.0,21.52,6,100.0
1708300790,618769647.0,906914924.0,20.94,6,100.0
1708326925,434269986.0,910395497.0,21.48,6,100.0
1708346372,763401175.0,924633299.0,17.97,6,100.0
1708357605,797892897.0,924633299.0,19.05,6,100.0
1708372532,701497694.0,912171825.2743516,17.6,6,100.0
1708390041,730543958.0,915920206.0,18.41,6,100.0
1708419611,857055693.0,910097681.0,19.72,6,100.0
1708449189,6973037.0,863816588.3422666,14.01,8,20.0
1708461615,497759873.0,921122738.0,21.39,8,20.0
1708472813,786538745.0,924791233.0,18.54,8,20.0
1708480675,904713317.0,924791233.0,13.03,8,20.0
1708517303,936539775.0,864569398.480341,12.93,8,20.0
1708527115,778672498.0,921630103.0,22.42,8,20.0
1708539235,937708556.0,922801661.0,14.6,8,20.0
1708557605,910849140.0,923547165.0,17.42,6,100.0
1708602897,918656193.0,924907004.0,12.71,6,100.0
1708610377,934330005.0,924907004.0,12.86,6,100.0
1708635594,935909410.0,912631909.0,26.61,6,100.0
1708676476,937544599.0,924372034.0,23.01,6,100.0
1708687177,936746727.0,914624989.0,23.32,6,100.0
1708726496,918026406.0,925895987.0,21.17,6,100.0
1708739549,801270912.0,925895987.0,22.19,6,100.0
1708804210,937898005.0,917873158.0,27.86,7,100.0
1708812536,940941696.0,917873158.0,24.29,6,100.0
1708856939,919394470.0,906389819.0,24.95,6,100.0
1708898398,731531599.1050735,923276984.0,33.16,6,100.0
1708938059,937460475.0,917771512.0,31.36,6,100.0
1708951313,934549014.0,917771512.0,31.66,6,100.0
1708973990,744366535.0,911110283.0,28.52,6,100.0
1709017767,938441816.0,908862472.0,22.37,6,100.0
1709057735,731021081.0,910208131.9903994,22.18,6,100.0
1709084572,763755470.484952,924270411.0,24.33,6,100.0
1709132554,936651611.0,920390759.0,52.22,8,10.0
1709155620,917243202.0,908331594.0,26.21,6,100.0
1709168394,934123369.0,921911983.0,22.35,6,100.0
1709173491,517941629.0,921911983.0,22.48,6,100.0
1709203879,937586949.0,912312271.0,26.39,6,100.0
1709222127,906279299.0,909970924.3829594,22.9,6,100.0
1709377861,934487851.0,911579864.0,16.08,6,100.0
1709401135,641679074.8726363,756900393.0,38.85,8,20.0
1709404438,157863282.0,756900393.0,37.19,8,20.0
1709417543,633389545.0,907388281.0,29.29,8,20.0
1709450748,843682520.0,841140432.5186427,39.45,9,10.0
1709463984,619774605.5480628,917137319.0,39.01,9,10.0
1709496757,603924971.9441032,911897082.0,48.11,8,10.0
1709508238,460744225.0,911897082.0,28.22,6,100.0
1709538007,503167269.0,923849455.0,35.93,6,100.0
1709550209,882330760.0,910008136.1870623,23.51,6,100.0
1709566135,937952873.0,923849455.0,25.85,6,100.0
1709600607,742027589.0,911531993.0,23.65,6,100.0
1709833229,766563094.0,906809068.0,20.67,6,100.0
1709842316,826682138.0,923170233.0,19.39,6,100.0
1709855035,879387602.0,923170233.0,21.08,6,100.0
1709888445,444964538.0,906947862.0,12.57,6,100.0
1709908645,44512053.0,914731905.0,9.84,6,100.0
1709915652,746820955.0,912131927.0,22.0,6,100.0
1709943586,805725314.0,912616532.0,23.56,6,100.0
1709969266,751047640.9918537,915884752.0,28.38,6,100.0
1709992770,936745347.0,922119763.0,21.35,6,100.0
1709997939,917188819.0,935576088.0,21.17,6,100.0
1710015816,939791455.0,913840198.0,18.71,6,100.0
1710083750,779342772.0,936162942.0,11.83,6,100.0
1710139790,936324768.0,916038558.0,14.24,6,100.0
1710150501,936168886.0,916038558.0,14.1,6,100.0
1710170576,760848799.0,912188805.0,8.14,6,100.0
1710193129,870319603.0,902300685.0,47.0,8,10.0
1710242254,542517055.0,922172422.0,23.96,6,100.0
1710264610,822876557.0,884500236.0,20.36,6,100.0
1710279573,935542126.0,915357531.0,24.88,6,100.0
1710294052,902113873.0,910193167.4538698,24.73,6,100.0
1710316553,940992337.0,921438832.0,23.25,6,100.0
1710328734,942582802.0,921438832.0,23.17,6,100.0
1710352777,937640081.0,909758897.0,24.59,6,100.0
1710377392,541162202.0,911636031.0,37.98,7,20.0
1710442750,671596669.1459055,906710195.0,35.85,7,20.0
1710466120,176160847.0,856263018.6286435,34.46,7,20.0
1710527391,505519450.0,892805820.0,22.62,6,100.0
1710555261,809499985.7362685,907394542.0,12.51,6,100.0
1710575738,938376198.0,910324258.0,19.04,6,100.0
1710588209,592392892.0,907482998.091371,29.72,6,100.0
1710608583,779157318.7584782,909641999.0,20.96,6,100.0
1710643866,935234689.0,919812247.0,8.49,6,100.0
1710675463,884790994.0,918603902.0,20.89,6,100.0
1710726455,939878127.0,925110061.0,22.91,6,100.0
1710746575,838634354.0,923172080.0,47.05,8,10.0
1710780153,636172681.0,923169310.0,17.88,6,100.0
1710791029,751937877.1113458,908418090.47154,28.62,6,100.0
1710805377,620704954.6804209,918919853.0,44.23,8,10.0
1710883587,765471589.1531591,923954082.0,24.92,6,100.0
1710895902,766867538.0355363,910849094.0,24.54,6,100.0
1710920778,938374415.0,924006141.0,22.78,6,100.0
1710943874,921909448.0,917189106.0,23.88,6,100.0
1710953574,626000404.0,917189106.0,24.16,6,100.0
1710959780,333133511.0,913423873.0,23.28,6,100.0
1710983140,938532266.0,913422500.0,19.83,6,100.0
1711012181,775045427.5065513,912956025.0,22.34,6,100.0
1711031684,800306873.0,918501083.0,21.78,6,100.0
1711064383,856156782.0,917987723.0,19.78,6,100.0
1711066974,806664281.4428339,917987723.0,13.6,6,100.0
1711089706,934308834.0,923573425.0,25.9,6,100.0
1711100073,762185500.3548737,911624859.0,25.96,6,100.0
1711140724,573656772.0,921494854.0,32.82,6,100.0
1711159554,736145137.8912525,911481660.0,33.22,6,100.0
1711183558,822766927.0,910485096.0,34.13,6,100.0
1711212232,918431105.0,920964623.0,29.41,6,100.0
1711225844,806881652.0,912342165.0,29.07,6,100.0
1711254575,732599601.5084343,910479587.0,34.26,6,100.0
1711275384,912304934.0,907665629.0,34.42,6,100.0
1711289905,610461054.0,907665629.0,35.24,6,100.0
1711308419,636492633.0,924846806.0,29.05,6,100.0
1711311779,841537614.0,924846806.0,21.28,6,100.0
1711319875,793719603.0,923325258.0,23.0,6,100.0
1711327879,604191454.0,923325258.0,31.96,6,100.0
1711351567,480038500.0,908266908.7666707,30.01,6,100.0
1711517093,938113959.0,919919036.0,20.38,6,100.0
1711552396,920281299.0,911435131.0,19.37,6,100.0
1711558710,936121606.0,924793175.0,19.48,6,100.0
