Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1705430924,845154749.0,878502375.0,38.9,9,1.0
1705458037,281584830.0,878502375.0,51.58,10,1.0
1705512790,593180184.0,893336109.0,30.73,9,100.0
1705526894,823554184.0,893336109.0,20.35,10,100.0
1705608987,714198018.0,864227634.0,30.75,9,1.0
1705613886,714461922.0,671900646.0780373,33.2,9,1.0
1705658921,265447837.0,241172962.0,40.48,10,1.0
1705679091,1415676.0,241172962.0,48.55,10,100.0
1705699169,404209027.67734337,678318128.102993,28.77,9,1.0
1705754738,278711709.0,258739504.0,43.9,10,1.0
1705794737,555220100.0,664904202.0,21.43,10,1.0
1705867074,406512928.8152485,667733831.0,30.39,9,3.0
1705871686,225686691.0,667733831.0,22.53,9,1.0
1705889046,518407854.0,667733831.0,47.85,10,100.0
1705953224,221983417.0,815796655.0,34.67,9,1.0
1705959137,296432509.0,266130331.0,23.77,9,1.0
1706049152,482765211.0,829899251.0,32.66,9,1.0
1706176184,304559218.0,660080044.0,51.38,10,100.0
1706580479,403534300.1605587,245996077.0,70.04,11,1.0
1706615144,279813065.0,773932468.0,26.93,9,100.0
1706647905,715970520.0,836187056.0,26.85,9,1.0
1706657859,443077273.0,667890449.0,25.14,9,100.0
1706703167,613312961.0,831730192.0,32.68,9,1.0
1706707291,487536313.0,831730192.0,29.23,10,1.0
1706721519,266024382.0,262145952.0,57.21,10,1.0
1706739391,158335221.0,246992533.0,38.2,10,1.0
1706752376,279289292.0,276301793.0,48.58,10,1.0
1706952611,277505347.0,676290377.6393166,48.59,10,1.0
1706959295,410379497.8409748,671667395.8259621,52.48,10,1.0
1706981559,223871311.0,258368829.0,47.0,10,1.0
1706989393,270323433.0,269693517.0,43.51,10,1.0
1707006709,268751614.0,656287074.0837822,65.68,10,1.0
1707050889,410978522.94320107,669694947.0612221,55.05,10,1.0
1707064400,462621414.22738457,912370200.0,43.46,10,100.0
1707079157,677276559.0,901095632.0,40.65,9,1.0
1707099979,415619934.6338825,887156281.0,29.06,9,1.0
1707177242,411688126.5661316,271005266.0,60.62,10,1.0
1707233111,259365909.0,263455589.0,38.27,10,1.0
1707254440,597687154.0,686905954.2199631,60.13,13,10.0
1707259861,752196520.0,686190433.0,58.25,13,1.0
1707411965,729351663.0,224710555.0,19.42,10,1.0
1707427300,208719459.0,224710555.0,57.89,10,1.0
1707445716,276719123.0,224710555.0,56.7,10,1.0
1707473839,269275407.0,260468870.0,45.15,10,100.0
1707510333,307810931.0,867436187.0,47.38,10,100.0
1707524540,640628756.0,266916115.0,21.2,9,1.0
1707531212,272264133.0,266916115.0,41.92,10,1.0
1707598987,270519226.0,251344270.0,40.11,10,1.0
1707615311,274465152.0,251344270.0,46.49,10,1.0
1707646853,416467088.50408936,273382448.0,44.18,10,1.0
1707661171,206031596.0,273382448.0,37.55,10,100.0
1707677593,671614640.0,875352295.0,33.03,9,3.0
1707691615,280389951.0,275828206.0,50.1,10,100.0
1707764921,468127444.4224491,677957965.0,47.08,10,100.0
1707789946,10695493.0,675689444.0,52.18,10,100.0
1707826510,417922905.03108025,265815624.0,44.35,10,1.0
1707833758,240110397.0,263402501.0,51.28,10,1.0
1707859046,277715423.0,275881283.0,49.11,10,1.0
1707954495,418340799.23189354,259470559.0,55.21,10,1.0
1708024241,327523532.0,272001525.0,18.96,9,3.0
1708047872,273756730.0,272001525.0,44.7,11,1.0
1708050904,272628628.0,684003625.3531075,53.48,10,1.0
1708083629,474937228.6317215,275723100.0,21.63,9,100.0
1708108900,231895515.0,882166327.0,36.76,10,1.0
1708132430,200593180.0,687785622.5466194,51.19,10,1.0
1708201407,420402357.14162254,263996735.0,54.39,10,1.0
1708277470,421811085.8599453,912434510.0,40.72,10,1.0
1708293389,835402713.0,912434510.0,41.84,10,1.0
1708304173,766298995.0,885937850.0,42.96,10,1.0
1708311126,421846356.8851986,885937850.0,44.87,10,1.0
1709258899,489474004.0,893123580.0,26.83,9,1.0
1709305717,555848831.0,837763439.0,29.74,10,1.0
1709334000,518627790.0,720858752.5790253,30.89,9,1.0
1709383994,676229705.0,720434465.40551,37.04,10,1.0
1709391097,677852192.0,892557664.0,42.82,9,1.0
1709422332,292763195.0,707441411.3626862,53.46,11,1.0
1709464332,640629108.0,872726313.0,29.57,10,1.0
1709482664,836338446.0,900802858.0,16.64,9,100.0
1709493361,824077402.0,779620621.0,85.72,10,1.0
1709507730,277192008.0,883538310.0,48.68,10,1.0
1709526066,665847258.0,883538310.0,34.77,10,1.0
1709545086,435565650.9613991,805414004.0,29.08,9,1.0
1709557408,754714311.0,805414004.0,23.0,9,1.0
1709569485,572630188.0,805414004.0,48.69,9,1.0
1709579299,338795718.0,805414004.0,31.89,9,1.0
1709603767,646186220.0,877547194.0,75.29,10,1.0
1709660278,489458806.0,838758123.0,45.27,11,1.0
1709674646,696885456.0,529269424.0,43.81,11,1.0
1709686605,643722319.0,887514815.0,38.89,9,1.0
1709705304,713295535.0,887514815.0,59.39,11,1.0
1709724846,534670051.0,848719621.0,29.37,9,1.0
1709739064,434011351.90408134,848719621.0,35.92,10,1.0
1709753347,679845473.0,838858954.0,29.26,10,1.0
1709768196,562827473.0,842322195.0,29.29,9,1.0
1709769780,525966905.0,842322195.0,28.84,9,1.0
1709832024,437938744.1672478,811284468.0,28.52,9,1.0
1709848307,775583814.0,726744886.452549,31.3,9,1.0
1709927080,572681271.0,821508345.0,36.29,9,1.0
1709943187,650693251.0,880436046.0,25.27,11,1.0
1709993318,486541064.0,730431563.8073807,29.74,9,1.0
1710016068,434912061.39826775,895118066.0,59.49,10,1.0
1710020375,624692306.0,909811592.0,100.15,10,1.0
1710060070,705377639.0,906810293.0,27.3,10,1.0
1710083274,781505412.0,906810293.0,53.56,10,100.0
1710083651,732568457.0,906810293.0,54.33,10,100.0
1710106870,694838400.0,920827502.0,46.72,10,1.0
1710180349,453352218.0,829529344.0,48.44,10,1.0
1710199709,541224423.0,829529344.0,52.15,10,1.0
1710199827,483027162.0,829529344.0,52.18,10,1.0
1710323358,715443333.0,827171824.0,27.83,9,1.0
1710352351,339764415.0,736312092.0,47.35,12,1.0
1710376953,9594482.0,892128817.0,46.06,10,1.0
1710393205,810551355.0,892128817.0,54.2,10,1.0
1710434584,585057864.0,794451501.0,34.08,9,100.0
1710438568,269117622.0,794451501.0,29.47,9,100.0
1710451119,425303042.0,794451501.0,15.58,9,100.0
1710466996,685349410.0,891341449.0,29.13,9,1.0
1710501527,510344261.0,887044153.0,35.84,9,100.0
1710509310,401973719.0,683253590.0,33.12,10,1.0
1710528958,220883031.0,849138458.0,54.66,10,1.0
1710545913,595956769.0,849138458.0,16.03,9,1.0
1710554935,773431243.0,748082859.8706207,20.91,9,1.0
1710594197,440617814.6993904,877130197.0,42.33,10,1.0
1710598513,598896098.0,755659018.947258,30.05,9,100.0
1710626437,270899826.0,859675635.0,62.11,10,1.0
1710632375,123365120.0,859675635.0,26.58,9,1.0
1710687805,724043284.0,256010252.0,51.52,10,1.0
1710718945,667000894.0,881350338.0,30.31,10,1.0
1710728241,649902790.0,716162618.0815277,54.36,10,1.0
