Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1705410478,1260538642.0,2519980178.0,31.44,9,100.0
1705416079,2271452020.0,2519980178.0,31.8,9,100.0
1705433716,1332645299.0,2104229151.0,36.29,9,100.0
1705458226,2173418595.0,2125888297.0,30.73,9,100.0
1705492815,2065728950.3296127,751931819.0,31.32,9,100.0
1705503176,1583335055.0,2585919482.8243103,31.29,9,100.0
1705516453,1985586491.0,1369499395.0,28.37,10,100.0
1705524462,1610566507.0,2366009230.0,28.71,10,100.0
1705543080,946759507.0,2510915812.0,28.15,10,100.0
1705576310,1539795516.0,2441038845.0,29.66,10,100.0
1705595349,2187288040.72464,2660835607.460312,17.42,10,100.0
1705617841,1530967724.0,2148740435.0,31.25,9,100.0
1705694686,2130685929.4171524,2492845149.0,27.33,9,100.0
1705710258,891038638.0,2159545619.0,28.93,9,100.0
1705742847,1080610158.0,2592098666.6285095,30.57,9,100.0
1705748548,1563168658.0,2166884362.0,30.32,9,100.0
1705771916,2069306368.622383,2166884362.0,30.73,9,100.0
1705790939,1314239563.0,2401767651.0,30.15,9,100.0
1705823250,1666663956.0,2607964027.0408554,29.6,9,100.0
1705837714,1990008537.0,2407983758.0,30.51,9,100.0
1705925500,1942656636.7477722,3350387190.0,30.94,10,100.0
1705933043,2441194179.0,3350387190.0,28.05,10,100.0
1705945630,2853918003.0,2432205772.793289,28.92,10,100.0
1705975828,996569769.0,1913138295.0,28.66,9,100.0
1706008308,2684703574.0,2880822126.0,29.77,9,100.0
1706024184,2161164164.459198,2935038618.0,18.32,10,100.0
1706039102,1919593410.0,1245974419.0,30.71,9,100.0
1706054498,2414904222.0,2810796944.0,31.25,9,100.0
1706056378,1101161921.0,2577047360.1385345,30.85,9,100.0
1706094313,2044984730.0,2571134278.5402985,31.1,9,100.0
1706099373,1250113744.0,2195518396.0,31.17,9,100.0
1706124599,1384550757.0,2960129011.0,34.95,9,100.0
1706148387,874037946.0,2575322174.0648346,30.79,9,100.0
1706185202,1467600289.0,2765409346.0,16.69,10,100.0
1706189440,555395882.0,2247206259.0,18.37,10,100.0
1706219360,1262930037.0,2533165093.584152,32.9,9,100.0
1706223782,2071345327.0,2394277262.0,30.27,9,100.0
1706269535,547779580.0,2418834980.0,30.59,9,100.0
1706298616,2033114237.4356842,2546415409.2895813,32.07,9,100.0
1706318338,2055391828.241127,2507547908.0,30.77,9,100.0
1706360807,1740170652.0,2171763828.0,31.11,9,100.0
1706426202,1471000872.0,2564978925.0270386,30.88,9,100.0
1706450552,1226889538.0,2788092449.0,30.83,9,100.0
1706469690,1064621980.0,2537119447.8048706,32.28,9,100.0
1706482598,3308954601.0,1538795436.0,30.74,9,100.0
1706513263,1529252108.0,2182455185.0,30.72,9,100.0
1706541070,1009063445.0,2310167557.0,31.03,9,100.0
1706556310,1258926640.0,2314120771.0,30.91,9,100.0
1706577808,1534697195.0,1662939837.0,35.62,9,100.0
1706679738,1273565810.0,2168618309.0,29.99,9,100.0
1706695471,1753376270.0,2517602112.618431,32.94,9,100.0
1706714382,1294424610.0,1890741988.0,32.0,9,100.0
1706729494,1025818464.0,2113140142.0,35.11,9,100.0
1706745304,2334115093.0,2569824061.1043777,30.1,9,100.0
1706751468,2216642665.0,2113140142.0,30.9,9,100.0
1706818953,2350735032.0,3185886389.0,17.98,10,100.0
1706841750,1743630617.0,2492466273.0,17.77,10,100.0
1706873208,1860851025.0,2608980452.503563,18.06,10,100.0
1706885165,1615104330.0,2984490586.0,17.62,10,100.0
1706926764,1531499897.0,2082225408.0,30.77,9,100.0
1706987377,2042887851.354416,938580424.0,30.56,9,100.0
1706995929,1165861615.0,938580424.0,30.7,9,100.0
1707027621,2176166384.1569214,2440463957.0,22.89,9,100.0
1707054602,668573996.0,2491832517.0,23.05,9,100.0
1707068529,2142089800.0,2512492074.0,22.04,9,100.0
