Unnamed: 0,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
0,1705406153,625056059.0,938009644.7812173,28.13,8,100.0
1,1705443250,724874191.5894299,923483330.0,23.55,8,100.0
2,1706256673,610038434.3339367,909294660.1919308,46.55,10,100.0
3,1706271983,27637938.0,862406025.0,27.62,8,100.0
4,1706287420,32348605.0,862406025.0,26.1,8,100.0
5,1706297621,34814899.0,896639937.0,23.28,8,100.0
6,1706305284,48549282.0,896639937.0,29.03,8,100.0
7,1706317310,133745661.0,909797785.0,27.18,8,100.0
8,1706347169,705537293.378355,894751332.0,27.01,8,100.0
9,1706361206,87661251.0,893046497.0,27.65,8,100.0
10,1706397803,104281070.0,882272596.0,24.37,8,100.0
11,1706410155,722474475.2718639,926681866.0,22.86,8,100.0
12,1706427346,653582103.970684,926681866.0,26.79,8,10.0
13,1706440179,66689510.0,916037184.0,26.31,8,10.0
14,1706488073,54691204.0,911697258.0,29.05,8,10.0
15,1706489533,633421948.6502647,911697258.0,31.55,8,10.0
16,1706569098,711239006.7431889,941905541.6617596,25.35,8,100.0
17,1706643595,124850516.0,854695250.7457926,60.89,13,40.0
18,1706651339,97675088.0,968327061.0,53.3,13,40.0
19,1706667549,100191637.0,866924589.9486623,52.83,13,40.0
20,1706693273,181665819.0,969153006.0,40.68,15,100.0
21,1706724298,117912306.0,959038878.0,23.87,8,100.0
22,1706755278,162791765.0,970198485.0,23.62,8,100.0
23,1706814619,156762402.0,967730306.0,24.59,8,10.0
24,1706823660,653752238.5935287,967730306.0,26.23,8,10.0
25,1706834550,96783545.0,965791890.0,26.1,8,10.0
26,1706870835,631256000.3016129,959396673.0,40.65,10,100.0
27,1706920272,107164595.0,967053906.0,32.86,8,10.0
28,1706926124,171022352.0,967053906.0,30.16,8,10.0
29,1706959594,240438597.0,967648624.0,32.08,8,10.0
30,1706983948,164259553.0,953631400.0,32.84,8,10.0
31,1706996536,290346492.0,953631400.0,32.59,8,10.0
32,1707046934,232364174.0,972650878.0,22.09,8,100.0
33,1707060866,154979796.0,969108669.0,30.92,8,100.0
34,1707064851,170551125.0,958678465.0,28.44,8,100.0
35,1707089736,175375458.0,970297181.0,43.41,10,100.0
36,1707161980,169659240.0,971036086.0,48.38,10,3.0
37,1707178520,138884148.0,958243046.0,35.74,8,100.0
38,1707186571,118856761.0,958243046.0,34.34,8,100.0
39,1707220676,198915772.0,956565847.0,37.74,8,100.0
40,1707241601,130237371.0,962229230.0,27.27,8,10.0
41,1707254448,175112559.0,957718086.0,41.1,8,10.0
42,1707268785,160856746.0,957718086.0,22.31,8,100.0
43,1707348361,189724829.0,955420579.0,23.96,8,100.0
44,1707374381,175532017.0,955420579.0,23.63,8,100.0
45,1707472150,629727772.4417343,956775228.0,31.15,8,10.0
46,1707514980,605048339.9736519,958505382.0,46.1,10,100.0
47,1707540506,489423264.0,958505382.0,26.15,8,100.0
48,1707572017,177053128.0,955832272.0,26.51,8,100.0
49,1707597282,240334664.0,959083299.0,25.07,8,100.0
50,1707645562,193409939.0,955624420.0,29.58,8,100.0
51,1707657506,213595838.0,955624420.0,31.84,8,100.0
52,1707685410,116234690.0,930903839.9053972,32.31,8,100.0
53,1707702794,163320219.0,972552100.0,23.43,8,100.0
54,1707738389,126196115.0,953785683.0,22.65,8,100.0
55,1707746167,127140164.0,953785683.0,22.82,8,100.0
56,1707789323,171129496.0,932318966.0721523,31.35,8,100.0
57,1707814776,99143024.0,957927802.0,24.69,8,100.0
58,1707916621,88447292.0,970736947.0,21.92,8,100.0
59,1707930335,705604438.8156643,959212801.0,24.92,8,100.0
60,1707961749,109209332.0,958396643.0,32.76,8,10.0
61,1707991228,115343227.0,946181525.04103,22.18,8,100.0
62,1708015858,199428435.0,934381496.8743403,29.94,8,100.0
63,1708041084,261811282.0,953172884.0,36.89,8,100.0
64,1708062627,59873635.0,953172884.0,31.22,8,100.0
65,1708101061,976873388.0,975071748.0,30.81,8,100.0
66,1708107945,681150301.8982887,975071748.0,30.56,8,100.0
67,1708117107,984562650.0,916329156.0,14.52,8,100.0
68,1708134923,915284045.0,916329156.0,26.4,8,100.0
69,1708174780,979320786.0,959610995.0,25.71,8,100.0
70,1708247140,712495894.8383083,973815014.0,22.85,8,100.0
71,1708268616,697304866.2489758,973815014.0,26.47,8,100.0
72,1708345258,967996709.0,970567623.0,21.78,8,100.0
73,1708447355,973816962.0,879490263.183359,34.54,8,10.0
74,1708481734,962962273.0,959606005.0,25.48,8,100.0
75,1708509436,960184163.0,966213157.0,27.01,8,100.0
76,1708522301,946394208.0,939107481.0224288,26.71,8,100.0
77,1708612572,692181031.8535805,960865019.0,27.25,8,100.0
78,1708698287,978059704.0,930810620.3042982,32.14,8,100.0
79,1708732719,967952072.0,959916835.0,34.29,8,100.0
80,1708812855,986920323.0,960962430.0,26.77,8,100.0
81,1708826930,972186120.0,941903817.2731932,24.81,8,100.0
82,1708862908,988179010.0,960549533.0,27.25,8,100.0
83,1708905914,985707264.0,975283609.0,27.94,8,100.0
84,1708987207,888893418.0,970765253.0,30.96,8,100.0
85,1709022819,982307666.0,974286972.0,30.28,8,100.0
86,1709064735,962020620.0,974915095.0,28.55,8,100.0
87,1709116538,956706294.0,971298474.0,33.57,8,100.0
88,1709130188,981519662.0,971298474.0,31.95,8,100.0
89,1709151936,980789141.0,971455226.0,34.93,8,100.0
90,1709166033,883477487.0,930891419.5412087,31.98,8,100.0
91,1709175584,664334108.6219482,961020192.0,33.2,8,100.0
92,1709197288,970124512.0,959920229.0,32.55,8,100.0
93,1709212151,901515289.0,959920229.0,34.6,8,100.0
94,1709224608,156604911.0,926649056.9476404,34.75,8,100.0
95,1709238792,899102929.0,973813651.0,41.93,8,10.0
96,1709267694,973571465.0,975682489.0,51.28,10,100.0
97,1709286806,976762048.0,970926131.0,27.68,8,100.0
98,1709310335,967943167.0,958024562.0,22.39,8,100.0
99,1709320504,953573107.0,958024562.0,26.22,8,10.0
100,1709326253,955359456.0,958024562.0,25.42,8,10.0
101,1709348007,693874173.8313694,970879770.0,25.88,8,100.0
102,1709377569,983198957.0,942201026.0,26.22,8,100.0
103,1709393658,965577540.0,965505463.0,26.49,8,100.0
104,1709416873,929984751.0,955092154.0,48.58,10,100.0
105,1709492302,690255570.1906471,961494695.0,26.56,8,100.0
106,1709509598,662511900.2874699,961494695.0,33.2,8,100.0
107,1709595828,931241742.0,969477262.0,38.18,11,100.0
108,1709624834,9227462.0,956885396.0,43.14,11,100.0
109,1709636378,965083825.0,956885396.0,46.21,11,100.0
110,1709648542,948542987.0,954676735.0,45.0,10,100.0
111,1709668759,915457537.0,971238755.0,49.53,10,100.0
112,1709680075,9384815.0,954889888.0,46.57,10,100.0
113,1709711747,985977688.0,923902623.0,45.18,10,100.0
114,1709726315,951952434.0,923902623.0,26.09,8,100.0
115,1709734401,9804213.0,941098465.0,29.96,8,100.0
116,1709756984,983049139.0,933665504.76635,29.98,8,100.0
117,1709760078,35232271.0,956461085.0,28.4,8,100.0
118,1709821350,733322028.0,945291027.0,31.0,8,100.0
119,1709862584,979843949.0,961389164.0,30.69,8,100.0
120,1709900059,973483940.0,973814089.0,29.68,8,100.0
121,1709907629,685533130.5430393,973814089.0,27.15,8,100.0
