Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1705595426,666143093.0,910688529.0,31.98,7,6.0
1705599434,883480050.0,910688529.0,31.98,7,6.0
1705622040,927258074.0,910845770.0,38.49,7,6.0
1705669525,695836077.0,920236141.0,37.32,7,6.0
1705683719,627802132.0,899050770.0,34.91,7,6.0
1705702924,902201015.0,899050770.0,33.93,7,6.0
1705747232,523241464.0,899311970.0,40.99,7,6.0
1705775692,876920294.0,921224095.0,36.84,7,6.0
1705786886,861670257.0,,35.68,9,6.0
1705834378,,921908203.0,34.24,7,100.0
1705854276,792570172.0,920916844.0,27.28,7,6.0
1705862063,702964717.0,,30.98,7,6.0
1705964909,851601270.0,815737292.0,28.58,7,6.0
1705989379,813851814.0,,44.57,7,6.0
1706005336,,894318799.0,29.33,7,100.0
1706045709,,894017104.0,30.71,7,6.0
1706078663,,872205822.0,29.65,7,6.0
1706093901,380378000.0,890148493.0,39.82,7,6.0
1706127534,,883160177.0,46.03,9,6.0
1706164100,627675737.0,,36.64,7,100.0
1706220810,292135742.0,885419300.0,34.06,7,6.0
1706289663,,860480378.0,36.86,6,100.0
1706372473,261200320.0,864029950.0,33.9,7,6.0
1706388109,343201155.0,864029950.0,46.07,7,6.0
1706404112,328623833.0,893704139.0,42.54,7,6.0
1706410623,423207008.0,893704139.0,43.68,7,6.0
1706562697,218886869.0,789841135.0,39.82,7,6.0
1706570241,439406871.0,883951822.0,33.92,7,6.0
1706601874,459527058.0,,32.36,7,6.0
1706640166,373729734.0,839328546.0,29.28,7,6.0
1706660076,751116169.0,905898550.0,31.62,7,6.0
1706665750,666157703.0,905898550.0,38.28,7,6.0
1706735705,685469607.0,818623078.0,38.32,7,6.0
1706737514,511647357.0,,37.52,7,6.0
1706858597,,919132509.0,39.44,7,6.0
1706950099,513360529.0,920862159.0,26.05,7,6.0
1706957205,866231362.0,915154038.0,25.34,7,6.0
1706981065,864344178.0,913917668.0,31.26,7,6.0
1707012735,863243083.0,,33.35,7,6.0
1707066336,611581676.0,920283968.0,32.95,7,6.0
1707094952,824341196.0,916508219.0,49.38,9,6.0
1707167729,675078123.0,,37.53,7,6.0
1707210897,660184538.0,932032929.0,27.85,7,6.0
1707253592,925673913.0,,33.75,7,6.0
1707337962,,917610601.0,32.35,9,6.0
