Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1705425318,535247091.0,926419397.0,13.82,8,100.0
1705436664,,926419397.0,20.9,8,100.0
1705452743,670774872.0,,20.8,8,100.0
1705505553,378955972.0,925440874.0,26.06,8,100.0
1705508481,575252475.0,925440874.0,24.71,8,100.0
1706267172,20867612.0,923219385.0,28.12,8,100.0
1706334417,63176621.0,919558516.0,26.8,8,100.0
1706356614,,919558516.0,27.11,8,100.0
1706368851,18245245.0,918728604.0,32.14,8,100.0
1706376174,,918728604.0,25.56,8,100.0
1706408539,,902238873.0,21.97,8,100.0
1706452008,333290998.0,916775314.0,7.37,6,10.0
1706467209,410729416.0,926997598.0,11.2,6,10.0
1706485870,,,11.56,6,10.0
1706512029,293059760.0,925727725.0,11.5,6,10.0
1706520534,134584864.0,925727725.0,10.73,6,10.0
1706557556,342884489.0,918868067.0,8.5,6,10.0
1706688565,167195593.0,958508892.0,25.32,8,100.0
1706706726,147902229.0,958508892.0,22.71,8,100.0
1706754485,169869779.0,970614714.0,22.74,8,100.0
1706774202,97046984.0,969831045.0,22.19,8,100.0
1706859497,246888972.0,984173273.0,7.57,6,10.0
1706892975,279449444.0,968805185.0,2.06,6,10.0
1706910641,252811812.0,,9.78,6,10.0
1706934175,263036105.0,975961428.0,9.65,6,10.0
1706968880,261828733.0,973394706.0,8.16,6,10.0
1706979455,133798384.0,973394706.0,12.74,6,10.0
1707015043,,970366562.0,5.44,6,10.0
1707048089,125358407.0,969084536.0,19.64,8,100.0
1707074547,75288844.0,967905465.0,33.59,10,100.0
1707085546,155084623.0,967905465.0,23.33,8,100.0
1707214982,243898789.0,968356740.0,47.44,10,100.0
1707225914,85039747.0,967417426.0,41.25,10,100.0
1707240494,176161375.0,967417426.0,5.84,6,10.0
1707250440,238866269.0,967417426.0,11.85,6,10.0
1707268526,,,2.66,6,10.0
1707295598,424935742.0,,1.65,6,10.0
1707345282,192256582.0,966206937.0,24.63,8,100.0
1707353365,91803498.0,984877617.0,30.5,8,100.0
1707496736,,,26.5,8,100.0
1707507640,192151561.0,971130833.0,25.9,8,100.0
1707523840,225130359.0,970564663.0,21.73,13,100.0
1707550036,204944814.0,972189425.0,22.86,8,100.0
1707590392,103704166.0,,22.33,8,100.0
1707596700,164993648.0,969092873.0,22.7,8,100.0
1707673564,103471656.0,958444375.0,32.05,8,100.0
1707682652,225601961.0,958444375.0,32.17,8,100.0
1707728373,206727988.0,968156562.0,25.01,8,100.0
1707736481,94214742.0,967379025.0,25.13,8,100.0
1707762580,148583375.0,954936730.0,26.08,8,100.0
1707864155,124311543.0,970979045.0,6.14,6,10.0
1707868320,123470311.0,970979045.0,10.82,6,10.0
1707912044,164260071.0,953574871.0,9.53,6,10.0
1707942697,464624420.0,978271131.0,5.4,6,10.0
1707961850,,976909493.0,10.32,6,10.0
1707994314,70569200.0,971874463.0,19.09,8,100.0
1707999377,121530329.0,971874463.0,20.32,8,100.0
1708011359,131795512.0,971874463.0,28.93,8,100.0
1708165526,987723448.0,,30.09,8,100.0
1708176689,988864244.0,972870174.0,24.62,8,100.0
1708209028,989899151.0,959605909.0,17.01,8,100.0
1708217445,989596816.0,,26.1,8,100.0
1708248832,992794338.0,962231058.0,25.43,8,100.0
1708261794,,962231058.0,24.5,8,100.0
1708305742,990171108.0,962184220.0,22.45,8,100.0
1708359290,990650299.0,961192613.0,27.41,8,100.0
1708459536,989806185.0,974968207.0,26.47,8,100.0
1708501777,987709225.0,976017127.0,21.94,8,100.0
1708530421,988545271.0,960601097.0,26.64,8,100.0
1708555772,989124905.0,961081074.0,29.81,8,100.0
1708567541,,974288433.0,27.09,8,100.0
1708590118,989441260.0,974442894.0,20.02,8,100.0
1708601359,987296951.0,974442894.0,21.47,8,100.0
1708605970,988127421.0,974442894.0,21.05,8,100.0
1708621228,990142338.0,972191418.0,21.87,8,100.0
1708639792,993826975.0,960969349.0,23.48,8,100.0
1708686951,989596073.0,958397553.0,22.73,8,100.0
1708696282,,960970165.0,21.37,8,100.0
1708717456,988864986.0,960022556.0,25.59,8,100.0
1708771084,986449203.0,959188253.0,24.74,8,100.0
1708777767,988815523.0,973658944.0,24.26,8,100.0
1708802179,988802174.0,961652896.0,38.44,11,100.0
1708907515,988971390.0,,27.2,8,100.0
1708968049,,981992013.0,28.34,8,100.0
1708995869,987977478.0,974080860.0,28.6,8,100.0
1709137192,989121740.0,958507539.0,30.89,8,100.0
1709150891,987718243.0,,32.91,8,100.0
1709233550,989595430.0,971405032.0,56.38,8,100.0
1709238355,988647558.0,971405032.0,35.71,8,100.0
1709261735,989541418.0,960680498.0,36.09,8,100.0
1709285664,989227241.0,975502446.0,27.66,8,100.0
1709298883,,,27.35,8,100.0
1709431903,989753261.0,960068505.0,21.11,8,100.0
1709760211,981884186.0,968204682.0,25.24,8,100.0
1709810726,989911785.0,958451611.0,28.87,8,100.0
1709816367,988154807.0,958451611.0,28.6,8,100.0
1709824228,989805641.0,961128461.0,30.49,8,100.0
1709830332,993476609.0,961913069.0,60.73,8,100.0
1709846323,983911021.0,961913069.0,29.5,8,100.0
1709859323,988600863.0,972435408.0,32.03,8,100.0
1709886079,987729612.0,969960591.0,26.97,8,100.0
1709894486,988285301.0,969960591.0,34.35,8,100.0
1709904768,988707501.0,973394658.0,24.25,8,100.0
1709923352,966055822.0,959502779.0,32.55,8,100.0
1709939882,992005374.0,961127164.0,22.99,8,100.0
1709950613,989282291.0,,20.8,6,10.0
1710024433,,961324817.0,28.13,8,100.0
1710034387,987375348.0,961398202.0,26.8,8,100.0
1710081269,984461779.0,974724181.0,27.17,8,100.0
1710159092,987812650.0,974598280.0,24.21,8,100.0
1710168341,989282242.0,961542893.0,29.2,8,100.0
1710187177,986555097.0,974424219.0,28.38,8,100.0
1710229082,,957356924.0,34.9,8,100.0
1710250305,,,32.4,8,100.0
1710257790,989909558.0,973561339.0,32.5,8,100.0
1710287780,992273323.0,975333551.0,32.23,8,100.0
1710292615,988442489.0,975333551.0,32.62,8,100.0
1710322026,989069905.0,974918264.0,31.6,8,100.0
1710346112,988023749.0,959610008.0,29.87,8,100.0
1710354963,990717866.0,959610008.0,31.38,8,100.0
1710355301,988233514.0,959610008.0,31.5,8,100.0
1710400728,989017872.0,960915719.0,33.06,8,100.0
1710416937,989810144.0,960915719.0,32.66,8,100.0
1710418822,987863400.0,957192936.0,30.45,8,100.0
1710434184,989706054.0,957192936.0,41.0,8,100.0
1710441782,991273651.0,957192936.0,28.88,8,100.0
1710471484,988238604.0,953398135.0,29.3,8,100.0
1710502698,,972764198.0,28.65,8,100.0
1710507896,987025773.0,,32.35,8,100.0
1710528647,989547207.0,960816962.0,36.92,8,100.0
1710615094,484654056.0,,76.2,14,3.0
1710621453,988705573.0,960844409.0,14.74,12,3.0
1710640413,,,18.48,8,100.0
1710669677,989042043.0,,21.82,8,100.0
1710681433,984512102.0,957547968.0,40.62,10,100.0
1710698841,989485477.0,961168689.0,21.71,8,100.0
1710715182,987750611.0,,22.96,8,100.0
1710808261,989280164.0,958820435.0,33.58,8,100.0
1710957410,988129101.0,972608905.0,31.13,8,100.0
1710978564,988598886.0,960654199.0,33.23,8,100.0
1711012112,989386556.0,959708848.0,33.22,8,100.0
1711025423,989125004.0,961233079.0,32.41,8,100.0
1711034075,989687174.0,959080517.0,32.02,8,100.0
1711042511,,959080517.0,32.22,8,100.0
1711060711,989123372.0,960031389.0,33.21,8,100.0
1711073106,987390751.0,960031389.0,55.84,10,100.0
1711100508,988504001.0,626213814.0,50.2,10,3.0
1711209002,989579539.0,,27.61,8,100.0
1711219978,991953995.0,974009097.0,27.75,8,100.0
1711286582,989962730.0,974916265.0,29.41,8,100.0
1711298668,,974548386.0,24.94,8,100.0
1711318169,983777200.0,959502970.0,34.23,8,100.0
1711354520,989646820.0,960442418.0,39.76,8,100.0
1711370512,989206073.0,960442418.0,38.93,8,100.0
1711378853,990015455.0,960442418.0,39.42,8,100.0
1711410395,988442143.0,960758912.0,37.61,8,100.0
1711491929,989752865.0,962017782.0,33.62,8,100.0
1711498447,989919309.0,958979256.0,33.93,8,100.0
1711622671,,976432495.0,12.73,6,10.0
1711632490,,,12.29,6,10.0
1711652764,989438292.0,987864437.0,33.38,8,100.0
1711663906,986242348.0,960573980.0,32.72,8,100.0
1711702332,990017287.0,961283345.0,27.48,8,100.0
1711714097,,961283345.0,28.1,8,100.0
1711727452,993422541.0,972923722.0,32.12,8,100.0
1711738883,989124510.0,,31.91,8,100.0
1711764856,989545079.0,,31.16,8,100.0
1711784633,,929878173.0,20.82,8,100.0
1711808179,991168396.0,977904324.0,21.9,6,10.0
1711819722,987350811.0,973163900.0,30.82,8,100.0
1711849641,987762938.0,961952951.0,39.38,8,100.0
1711874304,981913382.0,962330239.0,37.65,8,100.0
1711894648,989490474.0,973188300.0,37.34,8,100.0
1711901613,988810233.0,973188300.0,36.91,8,100.0
1711918323,986815959.0,964902722.0,42.31,8,100.0
1711921870,,964902722.0,35.33,8,100.0
1711932736,989174713.0,960341162.0,37.0,8,100.0
1711952846,989332841.0,975174022.0,37.21,8,100.0
1712102131,991057840.0,956693574.0,37.47,8,100.0
1712160978,988757804.0,960709077.0,34.16,8,100.0
1712175966,988194080.0,976174706.0,48.49,6,10.0
