Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
1713825492,665323667.0,908486291.0,34.26,6,6.0
1713879547,676335270.0,917190160.0,23.41,6,10.0
1713897373,251561286.0,912212796.0,26.24,6,6.0
1713960141,523869512.0,922414791.0,36.95,6,10.0
1713967017,140143443.0,912266502.0,36.7,6,10.0
1713989676,723308701.0,,19.43,6,10.0
1714004389,493407683.0,830370282.0,26.68,6,6.0
1714013261,597217983.0,924739544.0,24.56,6,10.0
1714049227,469290892.0,877896449.0,36.91,6,10.0
1714064157,557592414.0,877896449.0,37.17,6,10.0
1714078344,357984454.0,917666471.0,37.38,6,10.0
1714081883,,917666471.0,37.72,6,10.0
1714091264,473589658.0,921857434.0,37.85,6,10.0
1714141200,858732560.0,,37.57,6,10.0
1714141904,536562753.0,917610876.0,37.05,6,10.0
1714154787,506830197.0,891237527.0,39.22,6,10.0
1714193223,660210611.0,919128327.0,37.53,6,10.0
1714248085,656518199.0,918230152.0,37.16,6,10.0
1714254747,505363780.0,918230152.0,37.43,6,10.0
1714285507,844055682.0,,38.36,6,10.0
1714316448,471763792.0,892804812.0,29.56,6,10.0
1714323701,729863331.0,,30.87,6,10.0
1714331193,685877368.0,,30.96,6,10.0
1714389096,549831986.0,708470976.0,30.92,6,10.0
1714403618,468746963.0,708470976.0,28.53,6,10.0
1714414931,589982445.0,,29.09,6,10.0
1714429811,,,29.95,6,10.0
1714481445,547265691.0,911052524.0,32.35,6,6.0
1714494160,502217308.0,911052524.0,24.73,6,10.0
1714517847,882798738.0,911052524.0,27.73,6,6.0
1714576835,145021918.0,917923613.0,45.95,10,10.0
1714587627,280949264.0,905393244.0,21.29,6,10.0
1714593819,631777641.0,905393244.0,27.27,8,10.0
1714606510,698308675.0,905393244.0,26.67,8,10.0
1714658657,488480595.0,923958286.0,25.85,8,10.0
1714662149,700667871.0,923958286.0,26.75,8,10.0
1714742486,895593687.0,,23.86,6,10.0
1714760795,419850565.0,,27.9,6,10.0
1714784674,577766127.0,922644513.0,29.01,8,10.0
1714837568,477180549.0,924369122.0,23.33,6,10.0
1714856106,533464293.0,924369122.0,23.37,6,10.0
1714901186,574934968.0,924426635.0,23.33,6,10.0
1714920075,502163623.0,906393852.0,23.4,6,10.0
1714955865,618672273.0,923536128.0,26.0,8,10.0
1714961259,668573996.0,,26.77,8,10.0
1715031671,,918345202.0,24.6,6,10.0
1715032916,504836435.0,918345202.0,24.89,6,10.0
1715047029,900263567.0,,27.67,6,10.0
1715078749,516505988.0,,25.41,6,10.0
1715085717,160537258.0,921700377.0,60.06,10,100.0
1715098047,516954171.0,921700377.0,24.06,6,10.0
1715105802,381742334.0,921700377.0,29.75,8,20.0
1715123411,168611661.0,816999910.0,60.19,10,100.0
1715278682,761789892.0,919920692.0,21.18,6,10.0
1715299660,,919920692.0,23.68,6,10.0
1715347677,255747788.0,920038147.0,24.45,6,10.0
1715370668,724465179.0,924006649.0,23.42,6,10.0
1715380771,212441635.0,924006649.0,57.0,9,100.0
1715391310,222927536.0,925210108.0,57.21,6,10.0
1715431357,387398301.0,921176825.0,27.09,6,10.0
1715459819,878866567.0,843947279.0,57.23,9,100.0
1715481018,,841514435.0,22.88,6,10.0
1715536657,611059161.0,844261135.0,25.24,6,10.0
1713816780,928729242.0,797653677.0,14.76,3,100.0
1713826575,919026503.0,917716055.0,11.26,3,100.0
1713839978,,917716055.0,9.81,3,100.0
1713885186,931767894.0,893390280.0,8.09,3,100.0
1713894174,819321940.0,893390280.0,8.77,3,100.0
1713926231,,917142868.0,16.25,3,100.0
1713946121,924085183.0,916931134.0,15.41,3,100.0
1713963047,,914463403.0,14.24,3,100.0
1713973656,939732307.0,917246075.0,15.13,3,100.0
1714042291,937639519.0,916880676.0,15.22,3,100.0
1714052417,871106646.0,916880676.0,14.66,3,100.0
1714062312,821506990.0,916928016.0,14.82,3,100.0
1714085073,932238636.0,907440710.0,14.78,3,100.0
1714141004,848877247.0,918502810.0,15.19,3,100.0
1714178570,928462872.0,916927879.0,14.04,3,100.0
1714185946,864862587.0,916927879.0,15.26,3,100.0
1714244624,920097213.0,919384885.0,13.61,3,100.0
1714338102,899467233.0,,9.62,3,100.0
1714348470,899785450.0,917138374.0,7.46,3,100.0
1714393206,940418206.0,914779623.0,7.27,3,100.0
1714473790,933075306.0,917375337.0,1.97,3,100.0
1714491252,817791087.0,937597778.0,8.43,3,100.0
1714512787,877394446.0,916979895.0,8.39,3,100.0
1714514621,891082914.0,916979895.0,7.64,3,100.0
1714527729,927517947.0,926990275.0,7.25,3,100.0
1714588775,746063204.0,,-1.77,3,100.0
1714604366,897373404.0,875247481.0,0.65,3,100.0
1714618059,938214267.0,875247481.0,7.83,3,100.0
1714642644,,927268135.0,10.99,3,100.0
1714678985,829790783.0,928515394.0,7.43,3,100.0
1714715703,,918605831.0,7.75,3,100.0
1714805410,937323539.0,917764905.0,9.1,3,100.0
1714828826,861929213.0,922068440.0,7.75,3,100.0
1714904727,821454233.0,914601137.0,8.48,3,100.0
1714926291,835508364.0,920861699.0,8.12,3,100.0
1715043584,844523279.0,928213351.0,7.14,3,100.0
1715103557,840012217.0,927677181.0,7.35,3,100.0
1715120245,747476766.0,918402544.0,9.57,3,100.0
1715158981,937377046.0,910165788.0,8.05,3,100.0
1715178174,915146168.0,925055504.0,7.79,3,100.0
1715207703,850981043.0,926731283.0,6.4,3,100.0
1715257329,909901141.0,919183468.0,8.8,3,100.0
1715266007,,919183468.0,8.54,3,100.0
1715287209,935227833.0,908736758.0,9.76,3,100.0
1715291544,751248744.0,908736758.0,8.34,3,100.0
1715363840,619394896.0,922065213.0,6.43,3,100.0
1715381661,803105482.0,926884584.0,8.03,3,100.0
1715396245,934490650.0,926884584.0,8.56,3,100.0
1715424028,739823906.0,914362295.0,9.37,3,100.0
1715441824,850500503.0,914362295.0,8.3,3,100.0
1715546371,931404012.0,918136634.0,9.25,3,100.0
1715551458,888512650.0,918136634.0,7.79,3,100.0
1715566006,,,6.23,3,100.0
1715617714,718520398.0,622278516.0,7.01,3,100.0
1715642206,913311065.0,603665987.0,4.89,3,100.0
