,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
0,1705405745,759698098.0,903350166.0,30.11,5,3.0,am-df
1,1705423898,652530280.0,887359924.0,36.63,5,3.0,am-df
2,1705434952,666264990.0,887359924.0,31.16,5,3.0,am-df
3,1705458556,656515173.0,890975650.0,26.82,5,3.0,am-df
4,1705521424,481402276.0,892389712.0,27.74,5,3.0,am-df
5,1705544175,98514045.0,887621803.0,28.69,5,3.0,am-df
6,1705602256,1939868.0,842269387.0,17.34,5,3.0,am-df
7,1705621205,729862784.0,891081176.0,18.24,5,3.0,am-df
8,1705948526,66375239.0,872939738.0,18.85,5,3.0,am-df
9,1706000630,809651602.0,890998364.0,34.21,5,3.0,am-df
10,1706027124,7077695.0,886788349.0,24.8,5,3.0,am-df
11,1706042039,628100666.0,882534211.0,35.71,5,3.0,am-df
12,1706058887,615199047.0,879911142.0,35.27,5,3.0,am-df
13,1706102862,566903912.0,867540741.0,29.22,6,100.0,df-ba
14,1706132313,658244735.0,884812252.0,53.52,5,3.0,am-df
15,1706143613,529584765.0,884812252.0,21.41,5,3.0,am-df
16,1706167819,742565859.0,910008683.0,28.39,5,3.0,am-df
17,1706186297,484993804.0,862084646.0,21.46,5,3.0,am-df
18,1706230718,625005724.0,900726784.0,22.44,5,3.0,am-df
19,1706598774,728772126.0,856796447.0,39.71,5,3.0,am-df
20,1706630972,349486466.0,750641779.0,29.3,5,3.0,am-df
21,1706650258,769715448.0,887886300.0,28.65,5,3.0,am-df
22,1706667176,365326033.0,876663542.0,26.55,5,3.0,am-df
23,1706696433,777916597.0,883919168.0,44.04,5,3.0,am-df
24,1706704482,712246993.0,883919168.0,38.24,5,3.0,am-df
25,1706715793,629055472.0,891439220.0,37.17,5,3.0,am-df
26,1706731011,522192519.0,864345388.0,27.69,5,3.0,am-df
27,1706748673,616564136.0,872993607.0,31.47,5,3.0,am-df
28,1706800485,591556723.0,880386258.0,30.12,5,3.0,am-df
29,1706819887,289565536.0,893911084.0,13.84,5,3.0,am-df
30,1706830287,630720324.0,893911084.0,26.41,5,3.0,am-df
31,1706881182,542951566.0,868433986.0,26.5,5,3.0,am-df
32,1706899297,51170570.0,881924289.0,23.97,5,3.0,am-df
33,1706925865,675441412.0,879365436.0,32.34,5,3.0,am-df
34,1706954440,630930261.0,889509022.0,27.89,5,3.0,am-df
35,1706972426,619869669.0,876770022.0,21.73,5,3.0,am-df
36,1707001298,545891285.0,883061060.0,21.22,5,3.0,am-df
37,1707007668,695260402.0,883061060.0,25.02,5,3.0,am-df
38,1707026867,713295000.0,881176965.0,25.94,5,3.0,am-df
39,1707048761,725303101.0,885577650.0,25.02,5,3.0,am-df
40,1707049785,717542207.0,885577650.0,24.69,5,3.0,am-df
41,1707077742,757100111.0,883126177.0,24.52,5,3.0,am-df
42,1707089273,698092089.0,883126177.0,35.2,5,3.0,am-df
43,1707089643,141190984.0,883126177.0,34.91,5,3.0,am-df
44,1707135689,794350496.0,867432891.0,35.17,5,3.0,am-df
45,1707151761,29622317.0,884632425.0,23.47,5,3.0,am-df
46,1707159186,698987486.0,884632425.0,27.43,5,3.0,am-df
47,1707174806,758175985.0,886526469.0,23.1,5,3.0,am-df
48,1707236424,391375806.0,805676310.0,22.98,5,3.0,am-df
49,1707493317,363227325.0,886260999.0,28.0,5,3.0,am-df
50,1707550928,486381369.0,879655332.0,35.08,5,3.0,am-df
