,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
0,1705421961,613207827.0,917734160.0,44.4,11,100.0,ba-ce
1,1705425243,754346253.0,917734160.0,44.4,11,100.0,df-rj
2,1705457784,724568479.0,901671854.0,18.96,11,100.0,df-rj
3,1705491212,635770965.0,922696619.0,34.88,11,100.0,df-rj
4,1706286723,66270298.0,615361225.0,53.41,11,100.0,ba-ce
5,1706298822,65641372.0,462141432.0,47.89,11,100.0,ba-ce
6,1706309313,215587462.0,757486075.0,54.56,11,100.0,ba-ce
7,1706339543,51170432.0,571529978.0,53.48,11,100.0,ba-ce
8,1706346882,127297540.0,571529978.0,54.15,11,100.0,ba-ce
9,1706402815,28311593.0,669672526.0,49.83,11,100.0,ba-ce
10,1706405074,84095858.0,548457539.0,49.23,11,100.0,ba-ce
11,1706435020,176454625.0,763993734.0,39.19,10,10.0,pa-ma
12,1706454711,155871149.0,816846240.0,39.28,10,10.0,pa-ma
13,1706477695,67423453.0,790725737.0,40.96,10,10.0,pa-ma
14,1706574911,96154597.0,1205205893.0,30.21,11,100.0,df-rj
15,1706608737,81422089.0,1150605608.0,27.02,11,100.0,df-rj
16,1706622813,354523598.0,747426056.0,41.81,10,10.0,pa-ma
17,1706645002,102551327.0,890923222.0,30.81,11,100.0,df-rj
18,1706649662,72735569.0,890923222.0,28.57,11,100.0,df-rj
19,1706684715,129709000.0,762263962.0,28.54,11,100.0,df-rj
20,1706693715,213910701.0,762263962.0,30.48,11,100.0,df-rj
21,1706710688,169083285.0,1279050257.0,24.6,11,100.0,df-rj
22,1706723658,204000073.0,1279050257.0,25.76,11,100.0,df-rj
23,1706745381,142449306.0,915985946.0,50.25,11,100.0,ba-ce
24,1706792191,161901753.0,1266891423.0,35.57,10,10.0,pa-ma
25,1706817446,122526117.0,1279001982.0,37.14,10,10.0,pa-ma
26,1706830131,41104115.0,991431334.0,38.03,10,10.0,pa-ma
27,1706864164,70573120.0,695836390.0,39.02,10,10.0,pa-ma
28,1706869976,82994757.0,759851890.0,38.79,10,10.0,pa-ma
29,1706895520,146800676.0,994171538.0,41.33,10,10.0,pa-ma
30,1706997513,162844447.0,618241769.0,53.83,11,100.0,ba-ce
31,1707007403,108160998.0,848877544.0,24.8,11,100.0,df-rj
32,1707050107,115448650.0,1054318842.0,24.79,11,100.0,df-rj
33,1707070211,79429500.0,1131519436.0,30.74,11,100.0,df-rj
34,1707082973,60083431.0,1131519436.0,26.29,11,100.0,df-rj
35,1707114115,293082267.0,1315997095.0,28.53,11,100.0,df-rj
36,1707129142,133431529.0,1315997095.0,27.44,11,100.0,df-rj
37,1707132440,136158213.0,1315997095.0,26.01,11,100.0,df-rj
38,1707178585,67633294.0,843044624.0,37.61,11,100.0,df-rj
