,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
0,1705430924,845154749.0,878502375.0,38.9,9,1.0,am-rr
1,1705458037,281584830.0,878502375.0,51.58,10,1.0,ce-rr
2,1705512790,593180184.0,893336109.0,30.73,9,100.0,ap-am
3,1705526894,823554184.0,893336109.0,20.35,10,100.0,df-ba
4,1705608987,714198018.0,864227634.0,30.75,9,1.0,am-rr
5,1705613886,714461922.0,864227634.0,33.2,9,1.0,am-rr
6,1705658921,265447837.0,241172962.0,40.48,10,1.0,ce-rr
7,1705679091,1415676.0,241172962.0,48.55,10,100.0,ba-ce
8,1705699169,584424476.0,858165504.0,28.77,9,1.0,am-rr
9,1705754738,278711709.0,258739504.0,43.9,10,1.0,ce-rr
10,1705794737,555220100.0,664904202.0,21.43,10,1.0,am-rr
11,1705867074,710306518.0,667733831.0,30.39,9,3.0,df-am
12,1705871686,225686691.0,667733831.0,22.53,9,1.0,am-rr
13,1705889046,518407854.0,667733831.0,47.85,10,100.0,ba-ce
14,1705953224,221983417.0,815796655.0,34.67,9,1.0,am-rr
15,1705959137,296432509.0,266130331.0,23.77,9,1.0,am-rr
16,1706049152,482765211.0,829899251.0,32.66,9,1.0,am-rr
17,1706176184,304559218.0,660080044.0,51.38,10,100.0,ba-ce
18,1706580479,229114176.0,245996077.0,70.04,11,1.0,ce-rr
19,1706615144,279813065.0,773932468.0,26.93,9,100.0,ap-am
20,1706647905,715970520.0,836187056.0,26.85,9,1.0,am-rr
21,1706657859,443077273.0,667890449.0,25.14,9,100.0,ap-am
22,1706703167,613312961.0,831730192.0,32.68,9,1.0,am-rr
23,1706707291,487536313.0,831730192.0,29.23,10,1.0,am-rr
24,1706721519,266024382.0,262145952.0,57.21,10,1.0,ce-rr
25,1706739391,158335221.0,246992533.0,38.2,10,1.0,ce-rr
26,1706752376,279289292.0,276301793.0,48.58,10,1.0,ce-rr
27,1706952611,277505347.0,272839734.0,48.59,10,1.0,ce-rr
28,1706959295,276518008.0,268435764.0,52.48,10,1.0,ce-rr
29,1706981559,223871311.0,258368829.0,47.0,10,1.0,ce-rr
30,1706989393,270323433.0,269693517.0,43.51,10,1.0,ce-rr
31,1707006709,268751614.0,264752218.0,65.68,10,1.0,ce-rr
32,1707050889,263297354.0,271686598.0,55.05,10,1.0,ce-rr
33,1707064400,373348714.0,912370200.0,43.46,10,100.0,df-ba
34,1707079157,677276559.0,901095632.0,40.65,9,1.0,am-rr
35,1707099979,705984255.0,887156281.0,29.06,9,1.0,am-rr
36,1707177242,246286307.0,271005266.0,60.62,10,1.0,ce-rr
37,1707233111,259365909.0,263455589.0,38.27,10,1.0,ce-rr
38,1707254440,597687154.0,686190433.0,60.13,13,10.0,ma-pa
39,1707259861,752196520.0,686190433.0,58.25,13,1.0,am-rr
40,1707411965,729351663.0,224710555.0,19.42,10,1.0,am-rr
41,1707427300,208719459.0,224710555.0,57.89,10,1.0,ce-rr
42,1707445716,276719123.0,224710555.0,56.7,10,1.0,ce-rr
43,1707473839,269275407.0,260468870.0,45.15,10,100.0,ba-ce
44,1707510333,307810931.0,867436187.0,47.38,10,100.0,ba-ce
45,1707524540,640628756.0,266916115.0,21.2,9,1.0,am-rr
46,1707531212,272264133.0,266916115.0,41.92,10,1.0,ce-rr
47,1707598987,270519226.0,251344270.0,40.11,10,1.0,ce-rr
48,1707615311,274465152.0,251344270.0,46.49,10,1.0,ce-rr
49,1707646853,278134978.0,273382448.0,44.18,10,1.0,ce-rr
50,1707661171,206031596.0,273382448.0,37.55,10,100.0,df-ba
51,1707677593,671614640.0,875352295.0,33.03,9,3.0,df-am
52,1707691615,280389951.0,275828206.0,50.1,10,100.0,df-ba
53,1707764921,13421858.0,677957965.0,47.08,10,100.0,ba-ce
54,1707789946,10695493.0,675689444.0,52.18,10,100.0,ba-ce
55,1707826510,233046214.0,265815624.0,44.35,10,1.0,ce-rr
56,1707833758,240110397.0,263402501.0,51.28,10,1.0,ce-rr
57,1707859046,277715423.0,275881283.0,49.11,10,1.0,ce-rr
58,1707954495,140551633.0,259470559.0,55.21,10,1.0,ce-rr
59,1708024241,327523532.0,272001525.0,18.96,9,3.0,df-am
60,1708047872,273756730.0,272001525.0,44.7,11,1.0,ce-rr
61,1708050904,272628628.0,272001525.0,53.48,10,1.0,ce-rr
62,1708083629,725196394.0,275723100.0,21.63,9,100.0,ap-am
63,1708108900,231895515.0,882166327.0,36.76,10,1.0,ce-rr
64,1708132430,200593180.0,882166327.0,51.19,10,1.0,ce-rr
65,1708201407,597269994.0,263996735.0,54.39,10,1.0,ce-rr
66,1708277470,528482938.0,912434510.0,40.72,10,1.0,ce-rr
67,1708293389,835402713.0,912434510.0,41.84,10,1.0,ce-rr
68,1708304173,766298995.0,885937850.0,42.96,10,1.0,ce-rr
69,1708311126,853067981.0,885937850.0,44.87,10,1.0,ce-rr
70,1709258899,489474004.0,893123580.0,26.83,9,1.0,am-rr
71,1709305717,555848831.0,837763439.0,29.74,10,1.0,am-rr
72,1709334000,518627790.0,883950054.0,30.89,9,1.0,am-rr
73,1709383994,676229705.0,892557664.0,37.04,10,1.0,am-rr
74,1709391097,677852192.0,892557664.0,42.82,9,1.0,am-rr
75,1709422332,292763195.0,899204145.0,53.46,11,1.0,ce-rr
76,1709464332,640629108.0,872726313.0,29.57,10,1.0,am-rr
77,1709482664,836338446.0,900802858.0,16.64,9,100.0,ap-am
78,1709493361,824077402.0,779620621.0,85.72,10,1.0,ce-rr
