,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
0,1705404145,848561103.0,926943918.0,0.17,7,100.0,df-to
1,1705440565,785127207.0,925632315.0,10.05,7,100.0,df-to
2,1705444959,899050006.0,925632315.0,10.57,7,100.0,df-to
3,1705456480,830673088.0,926174718.0,19.13,7,100.0,df-to
4,1705489602,819097026.0,926883518.0,8.51,7,100.0,df-to
5,1705493758,776837762.0,926883518.0,10.11,7,100.0,df-to
6,1705520492,854695195.0,922962363.0,49.91,10,10.0,ms-pr
7,1705537689,870477368.0,924267268.0,13.28,7,100.0,df-to
8,1705675426,688548807.0,915827377.0,16.11,7,100.0,df-to
9,1705697209,929568433.0,917922696.0,6.8,7,100.0,df-to
10,1705713687,890978457.0,917922696.0,1.83,7,100.0,df-to
11,1705737472,627993767.0,924376008.0,-1.82,7,100.0,df-to
12,1705737877,835784793.0,924376008.0,-2.01,7,100.0,df-to
13,1705752912,702230539.0,926414765.0,-1.55,7,100.0,df-to
14,1705795573,847668372.0,923778627.0,15.8,7,100.0,df-to
15,1705833843,649280336.0,921126423.0,15.4,7,100.0,df-to
16,1705859877,463104447.0,921126423.0,16.49,7,100.0,df-to
17,1705913630,811495238.0,933601742.0,18.79,7,100.0,df-to
18,1705927285,742138826.0,933601742.0,13.74,7,100.0,df-to
19,1705949624,479304161.0,919810591.0,-4.05,7,100.0,df-to
20,1705957147,727190946.0,919810591.0,63.43,10,10.0,ms-pr
21,1705971503,903563541.0,919810591.0,25.71,7,100.0,df-to
22,1706106513,252916897.0,853910384.0,21.55,7,100.0,df-to
23,1706117303,346135491.0,881706812.0,19.94,7,100.0,df-to
24,1706132499,461005908.0,881706812.0,12.87,7,100.0,df-to
25,1706170608,911791129.0,875880043.0,18.23,7,100.0,df-to
26,1706177372,445802064.0,875880043.0,18.14,7,100.0,df-to
27,1706188519,240071403.0,798440191.0,17.74,7,100.0,df-to
28,1706207516,344091212.0,895482963.0,6.46,7,100.0,df-to
29,1706236644,410832426.0,855430097.0,8.37,7,100.0,df-to
30,1706236988,396729106.0,855430097.0,8.58,7,100.0,df-to
31,1706266921,451575439.0,876977546.0,1.47,7,100.0,df-to
32,1706292710,442786324.0,852442203.0,11.78,7,100.0,df-to
33,1706305422,472856789.0,852442203.0,4.79,7,100.0,df-to
34,1706321882,484548617.0,898927392.0,6.61,7,100.0,df-to
35,1706362131,424779369.0,887953804.0,35.35,10,10.0,ms-pr
36,1706362592,204682444.0,887953804.0,36.19,10,10.0,ms-pr
37,1706385485,392379846.0,843419701.0,25.18,7,100.0,df-to
38,1706391488,377067986.0,844739820.0,25.48,7,100.0,df-to
39,1706428427,538812259.0,885997126.0,53.64,11,10.0,ma-pa
40,1706433465,441921780.0,885997126.0,51.33,11,10.0,ma-pa
41,1706436764,818415654.0,885997126.0,51.4,11,10.0,ma-pa
42,1706462869,493358436.0,791203772.0,59.76,11,10.0,ma-pa
43,1706484186,478991887.0,903672420.0,65.1,10,10.0,ms-pr
44,1706488309,266654623.0,903672420.0,39.98,10,10.0,ms-pr
45,1706531980,398959504.0,803364333.0,40.11,10,10.0,ms-pr
46,1706570470,278292557.0,836352298.0,14.45,7,100.0,df-to
47,1706581247,364696848.0,888303512.0,14.12,7,100.0,df-to
48,1706611297,332661933.0,871106515.0,19.23,7,100.0,df-to
49,1706718222,619970498.0,766332171.0,31.98,10,10.0,ms-pr
50,1706732038,608647734.0,766332171.0,40.55,10,10.0,ms-pr
51,1706735194,828066346.0,911159932.0,39.57,10,10.0,ms-pr
52,1706746483,877823425.0,924582627.0,3.66,7,100.0,df-to
53,1706773130,924331251.0,924666264.0,4.11,7,100.0,df-to
54,1706911999,851183568.0,923114758.0,6.7,7,100.0,df-to
55,1706928021,671906033.0,924742503.0,7.96,7,100.0,df-to
56,1706992990,842113827.0,925055412.0,9.62,7,100.0,df-to
57,1707006272,866172339.0,925055412.0,12.49,7,100.0,df-to
58,1707045540,918100796.0,923480190.0,10.68,7,100.0,df-to
59,1707076484,850625733.0,926841053.0,6.4,7,100.0,df-to
60,1707095231,858313944.0,926841053.0,11.56,7,100.0,df-to
61,1707170073,821140727.0,920750280.0,47.91,10,10.0,ms-pr
62,1707175275,786744920.0,920750280.0,19.22,8,10.0,ms-go
63,1707241696,896073776.0,895802015.0,10.49,7,100.0,df-to
64,1707249243,828060301.0,924530106.0,16.08,7,100.0,df-to
65,1707261417,760850017.0,924530106.0,6.83,7,100.0,df-to
66,1707299819,913047597.0,908329641.0,8.3,7,100.0,df-to
67,1707312718,907492594.0,911682215.0,7.13,7,100.0,df-to
68,1707339152,850716812.0,914250900.0,63.48,10,10.0,ms-pr
69,1707374934,784229284.0,924528442.0,38.19,10,10.0,ms-pr
70,1707392453,854907902.0,924528442.0,37.19,10,10.0,ms-pr
71,1707408546,711110461.0,923805386.0,13.76,7,100.0,df-to
72,1707482411,610903859.0,926465202.0,-1.39,7,100.0,df-to
73,1707497871,753823698.0,915513536.0,40.59,10,10.0,ms-pr
74,1707525474,886730998.0,926421203.0,4.66,7,100.0,df-to
75,1707581271,737524401.0,913624360.0,5.92,7,100.0,df-to
76,1707595962,741133183.0,913624360.0,20.65,7,100.0,df-to
77,1707643774,893321137.0,924506198.0,8.69,7,100.0,df-to
78,1707692290,639320111.0,926576267.0,16.15,7,100.0,df-to
79,1707731298,908068949.0,924794007.0,4.68,7,100.0,df-to
80,1707747272,885628086.0,923024656.0,3.61,7,100.0,df-to
81,1707748631,895645041.0,923024656.0,3.15,7,100.0,df-to
82,1707767939,556410870.0,924319374.0,5.63,7,100.0,df-to
83,1707775371,748527437.0,924319374.0,3.12,7,100.0,df-to
84,1707791781,831892137.0,926155354.0,14.12,7,100.0,df-to
85,1707819392,891501722.0,926155354.0,15.73,7,100.0,df-to
86,1707905932,860832297.0,922902505.0,17.12,7,100.0,df-to
87,1707919203,761793434.0,922902505.0,18.2,7,100.0,df-to
88,1707957075,771807567.0,915986908.0,6.19,7,100.0,df-to
89,1707963396,901970556.0,915986908.0,5.52,7,100.0,df-to
90,1707992802,865916615.0,925004324.0,-1.09,7,100.0,df-to
91,1708032064,804313719.0,923067360.0,10.25,7,100.0,df-to
92,1708085167,583481719.0,921908987.0,64.63,10,10.0,ms-pr
93,1708113433,710203685.0,913314582.0,65.49,10,10.0,ms-pr
94,1708119373,797652520.0,925529215.0,8.45,7,100.0,df-to
95,1708143826,636854576.0,924846575.0,8.75,7,100.0,df-to
96,1708150516,532782477.0,924846575.0,8.27,7,100.0,df-to
97,1708171940,772906876.0,885021579.0,7.49,7,100.0,df-to
98,1708250975,639635069.0,924112061.0,12.79,7,100.0,df-to
99,1708260497,855953658.0,920334587.0,12.79,7,100.0,df-to
100,1708281836,722680024.0,912159044.0,12.1,7,100.0,df-to
101,1708296213,781071844.0,901093785.0,12.64,7,100.0,df-to
102,1708319513,737359343.0,912945250.0,11.6,7,100.0,df-to
103,1708338620,887410090.0,912945250.0,12.64,7,100.0,df-to
104,1708339926,904195403.0,912945250.0,12.19,7,100.0,df-to
105,1708390111,885104860.0,913994789.0,0.86,7,100.0,df-to
106,1708448892,765094205.0,890921529.0,64.03,10,10.0,ms-pr
107,1708464836,691536978.0,890921529.0,64.07,10,10.0,ms-pr
108,1708469325,790527928.0,890921529.0,38.16,10,10.0,ms-pr
109,1708500214,892308774.0,921596072.0,35.85,9,10.0,mg-df
110,1708516079,823553319.0,921596072.0,34.9,9,10.0,mg-df
111,1708547648,633183915.0,705849746.0,56.86,10,10.0,ms-pr
112,1708564931,755305181.0,887356685.0,9.07,7,100.0,df-to
113,1708606728,904975417.0,917775321.0,8.02,7,100.0,df-to
114,1708677326,783026437.0,921963905.0,21.78,7,100.0,df-to
115,1708692141,831739840.0,921963905.0,20.65,7,100.0,df-to
116,1709660022,530318319.0,912219887.0,64.81,11,10.0,ms-pr
117,1709681008,787952474.0,914103852.0,69.37,11,10.0,ms-pr
118,1709690023,796342237.0,914103852.0,8.75,7,10.0,ms-go
119,1709733282,846939705.0,922694082.0,26.16,10,10.0,mg-df
120,1709755039,663078140.0,922435627.0,68.0,10,10.0,ms-pr
121,1709759480,557843659.0,922435627.0,66.51,10,10.0,ms-pr
122,1709774298,557477939.0,896959446.0,68.55,10,10.0,ms-pr
123,1709808172,561985262.0,934594293.0,65.76,10,10.0,ms-pr
124,1709820222,822975902.0,906583148.0,56.53,10,10.0,ms-pr
125,1709843242,891802428.0,912519203.0,16.75,7,100.0,df-to
126,1709847759,843635406.0,919527696.0,16.3,7,100.0,df-to
127,1709858548,882064380.0,919527696.0,1.11,7,100.0,df-to
128,1709900455,808503756.0,922134378.0,8.64,7,100.0,df-to
129,1709927527,754612661.0,929250560.0,-3.97,7,100.0,df-to
130,1709940371,687656931.0,922223929.0,19.07,7,100.0,df-to
131,1709960178,578029022.0,924897663.0,9.14,7,100.0,df-to
132,1709986624,776736905.0,919550746.0,12.32,7,100.0,df-to
133,1709993851,784745457.0,919550746.0,11.69,7,100.0,df-to
134,1710012956,648912555.0,489947919.0,19.16,7,100.0,df-to
135,1710020195,891859729.0,489947919.0,4.1,7,100.0,df-to
136,1710032208,705065040.0,925531668.0,6.89,7,100.0,df-to
137,1710067735,807037809.0,916981362.0,7.32,7,100.0,df-to
138,1710100385,775146504.0,924267915.0,7.32,7,100.0,df-to
139,1710111686,734687198.0,898594263.0,14.55,7,100.0,df-to
140,1710125637,640471405.0,919627437.0,13.47,7,100.0,df-to
141,1710157985,859047606.0,914260586.0,7.97,7,100.0,df-to
142,1710169723,609746120.0,923785472.0,5.84,7,100.0,df-to
143,1710178291,717805859.0,920598035.0,8.74,7,100.0,df-to
144,1710191896,665899687.0,920598035.0,57.45,10,10.0,ms-pr
145,1710274285,5242880.0,898531064.0,43.62,11,3.0,df-am
146,1710276045,28875983.0,898531064.0,47.58,11,3.0,df-am
147,1710324812,608963952.0,923425314.0,11.01,7,100.0,df-to
148,1710354696,700500286.0,917611610.0,67.06,11,10.0,ma-pa
149,1710385033,628570077.0,934803026.0,63.21,10,10.0,ms-pr
150,1710433433,725879276.0,913168253.0,68.29,10,10.0,ms-pr
151,1710468323,418800856.0,934387662.0,36.89,9,10.0,mg-df
152,1710536806,666318885.0,840540496.0,36.2,9,10.0,mg-df
153,1710571933,734948498.0,922224159.0,68.0,10,10.0,ms-pr
154,1710599314,611687329.0,914473110.0,28.47,7,10.0,ms-go
155,1710621513,591395651.0,922282863.0,23.87,9,10.0,mg-df
156,1710629406,562246001.0,922282863.0,35.9,9,10.0,mg-df
157,1710642205,729237210.0,922282863.0,1.36,7,100.0,df-to
158,1710674150,615256336.0,935172645.0,-4.91,7,100.0,df-to
159,1710683420,845520441.0,935172645.0,10.24,7,100.0,df-to
160,1710717423,708053174.0,907227864.0,2.18,7,100.0,df-to
161,1710753798,809343264.0,925737450.0,12.86,7,100.0,df-to
162,1710793235,867224650.0,922276634.0,38.25,9,10.0,mg-df
163,1710803888,599628215.0,917769677.0,43.73,10,10.0,ms-pr
164,1710815537,911105271.0,917769677.0,62.48,10,10.0,ms-pr
165,1710840631,84934753.0,918100461.0,59.35,11,3.0,df-am
166,1710854371,856498592.0,931410662.0,9.18,7,100.0,df-to
167,1710869327,669200701.0,931410662.0,7.71,7,100.0,df-to
168,1710948684,537501347.0,932028408.0,7.79,7,100.0,df-to
169,1710968532,484652142.0,923921081.0,8.72,7,100.0,df-to
170,1710996025,804846420.0,924007019.0,9.27,7,100.0,df-to
171,1711068149,894330202.0,898421264.0,38.12,9,10.0,mg-df
172,1711141323,675229806.0,902824613.0,-0.66,7,100.0,df-to
173,1711144211,851446692.0,923111758.0,-0.36,7,100.0,df-to
174,1711156237,544735259.0,924266344.0,15.63,7,100.0,df-to
175,1711206333,875930939.0,924580131.0,4.52,7,100.0,df-to
176,1711224094,692322580.0,913051249.0,0.39,7,100.0,df-to
177,1711237640,765463235.0,913051249.0,-0.14,7,100.0,df-to
178,1711272661,780350103.0,925158928.0,2.21,7,100.0,df-to
179,1711295574,635123531.0,911164033.0,9.16,7,100.0,df-to
180,1711310615,571632406.0,925889645.0,15.19,7,100.0,df-to
181,1711318706,819515556.0,925889645.0,1.69,7,100.0,df-to
182,1711334497,842218348.0,925889645.0,1.35,7,100.0,df-to
183,1711442811,906513247.0,915108067.0,6.4,7,100.0,df-to
184,1711487801,685822367.0,918555515.0,62.24,10,10.0,ms-pr
185,1711490371,698088773.0,934230795.0,17.2,7,100.0,df-to
186,1711525779,722153785.0,934172014.0,8.09,7,100.0,df-to
187,1711534950,842739435.0,934172014.0,7.67,7,100.0,df-to
188,1711559821,781190565.0,915874585.0,3.72,7,100.0,df-to
189,1711563580,513727986.0,915874585.0,5.67,7,100.0,df-to
