,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
0,1705407339,883354526.0,903256339.0,2.19,4,40.0
1,1705444260,729026692.0,925791175.0,1.26,4,40.0
2,1705500145,831731522.0,919005544.0,5.42,4,40.0
3,1705597488,708501335.0,915241782.0,6.54,4,40.0
4,1705605337,932291718.0,,1.8,4,40.0
5,1705621035,,915241782.0,1.24,4,40.0
6,1705856132,922082032.0,925040241.0,4.89,4,40.0
7,1705867914,929669062.0,925040241.0,-4.61,4,40.0
8,1705973554,931557759.0,926159475.0,3.69,4,40.0
9,1705999254,,924740145.0,3.89,4,40.0
10,1706008350,584005834.0,895169923.0,1.4,4,40.0
11,1706033363,569702592.0,897165573.0,9.02,4,40.0
12,1706048560,685566769.0,897165573.0,8.42,4,40.0
13,1706054726,806304651.0,897165573.0,-4.82,4,40.0
14,1706129705,640573188.0,,4.48,4,40.0
15,1706143785,519099261.0,,0.91,4,40.0
16,1706191094,603038047.0,,6.23,4,40.0
17,1706207421,,890242893.0,-0.62,4,40.0
18,1706216921,714822066.0,890242893.0,2.13,4,40.0
19,1706223407,613260716.0,,0.69,4,40.0
20,1706256780,897634113.0,882110823.0,0.8,4,40.0
21,1706312615,654655961.0,878865116.0,3.51,4,40.0
22,1706345190,775531426.0,,4.32,4,40.0
23,1706353099,,895757299.0,4.0,4,40.0
24,1706378653,549602893.0,904189887.0,4.56,4,40.0
25,1706385220,854662072.0,904189887.0,6.01,4,40.0
26,1706396918,793668761.0,894491826.0,4.0,4,40.0
27,1706410477,692342917.0,,4.5,4,40.0
28,1706453592,848930228.0,907772123.0,3.3,4,40.0
29,1706474435,765933449.0,885728161.0,3.71,4,40.0
30,1706494568,619394989.0,914509019.0,3.72,4,40.0
31,1706523086,645352127.0,921384191.0,4.27,4,40.0
32,1706532503,738303395.0,921384191.0,5.38,4,40.0
33,1706553503,,742604976.0,4.16,4,40.0
34,1706602696,896198543.0,878130629.0,3.31,4,40.0
35,1706627748,691904361.0,878130629.0,4.1,4,40.0
36,1706653541,839650170.0,,1.93,4,40.0
37,1706660512,935014704.0,907127043.0,3.44,4,40.0
38,1706723448,931868326.0,915041584.0,3.23,4,40.0
39,1706731831,870004377.0,926365810.0,4.14,4,40.0
40,1706748903,932812883.0,926365810.0,0.13,4,40.0
41,1706795830,,,0.43,4,40.0
42,1706822555,,916142408.0,2.77,4,40.0
43,1706913261,934700225.0,927570654.0,7.29,4,40.0
44,1706923366,935647218.0,927570654.0,4.79,4,40.0
45,1707038533,934807560.0,,4.42,4,40.0
46,1707080664,936600914.0,,3.38,4,40.0
47,1707162798,,924846714.0,2.68,4,40.0
48,1707175616,932447466.0,927206109.0,4.71,4,40.0
49,1707194474,,,4.53,4,40.0
50,1707238285,884423992.0,924375731.0,1.53,4,40.0
51,1707292126,921267081.0,917924853.0,0.68,4,40.0
52,1707298695,935126622.0,917924853.0,0.17,4,40.0
53,1707317680,633584275.0,926733229.0,1.65,4,40.0
54,1707344858,,911214548.0,3.76,4,40.0
55,1707372533,924004570.0,917766373.0,3.95,4,40.0
56,1707402429,927884624.0,841535931.0,-1.88,4,40.0
57,1707417966,828536096.0,915723389.0,10.17,4,40.0
58,1707437814,933807209.0,917663580.0,-0.89,4,40.0
59,1707443475,630563542.0,917663580.0,-1.05,4,40.0
60,1707469783,608285507.0,916461197.0,-4.28,4,40.0
61,1707514538,890556487.0,926941647.0,1.62,4,40.0
62,1707585966,749154111.0,922851922.0,0.41,4,40.0
63,1707618750,907651742.0,925996122.0,0.45,4,40.0
64,1707640211,932110292.0,924942091.0,0.49,4,40.0
65,1707673855,934178413.0,926681310.0,1.86,4,40.0
66,1707689466,810821798.0,926681310.0,5.55,4,40.0
67,1707777234,926426067.0,924997525.0,5.51,4,40.0
68,1707785900,929405569.0,,-0.82,4,40.0
69,1707844962,,911738792.0,3.54,4,40.0
70,1707887241,873232864.0,914926666.0,1.96,4,40.0
71,1708041503,,916984434.0,-2.72,4,40.0
72,1708044648,910269868.0,,-1.93,4,40.0
73,1708074357,930614503.0,911111057.0,-0.5,4,40.0
74,1708122299,904293705.0,919133704.0,2.36,4,40.0
75,1708137228,938007084.0,926155307.0,1.55,4,40.0
76,1708178480,624480841.0,917470613.0,3.82,4,40.0
77,1708565639,932249870.0,926050125.0,-0.37,4,40.0
78,1708666301,932967837.0,925983380.0,3.46,4,40.0
79,1708786232,934749803.0,927858504.0,-0.74,4,40.0
80,1708815358,927574132.0,925212143.0,1.36,4,40.0
81,1708865133,,914620233.0,-0.29,4,40.0
82,1708878784,784911172.0,914620233.0,-3.88,4,40.0
83,1708893377,482556919.0,,2.43,4,40.0
84,1708942491,819673662.0,904926562.0,-2.54,4,40.0
85,1708975457,928727988.0,926365254.0,-3.0,4,40.0
86,1708997254,932280833.0,923482037.0,-5.03,4,40.0
87,1709019012,,927827092.0,-1.89,4,40.0
88,1709048380,,926418325.0,-2.58,4,40.0
89,1709064577,,926418325.0,-1.33,4,40.0
90,1709086181,,911605161.0,-1.02,4,40.0
91,1709105300,932003663.0,918185115.0,-1.71,4,40.0
92,1709133062,914517113.0,,1.17,4,40.0
93,1709154075,,923224786.0,-1.52,4,40.0
94,1709167912,931030490.0,927205321.0,-1.72,4,40.0
95,1709191249,911528073.0,,-0.43,4,40.0
96,1709204003,904263729.0,,0.01,4,40.0
97,1709243127,654730166.0,925904274.0,-0.53,4,40.0
98,1709320091,931243046.0,937010371.0,1.81,4,40.0
99,1709340265,861562039.0,937010371.0,-0.64,4,40.0
100,1709359738,915407857.0,924918691.0,0.09,4,40.0
101,1709369521,934860456.0,924918691.0,1.25,4,40.0
102,1709374539,929451910.0,924918691.0,0.62,4,40.0
103,1709390254,913943091.0,904716122.0,0.73,4,40.0
104,1709414568,934755458.0,926523791.0,-0.79,4,40.0
105,1709422775,700686282.0,928410072.0,-0.32,4,40.0
106,1709488433,694676374.0,925538465.0,-2.48,4,40.0
107,1709510177,,925538465.0,-0.02,4,40.0
108,1709536681,929374064.0,924637321.0,0.61,4,40.0
109,1709557251,,,0.66,4,40.0
110,1709572120,,977274444.0,-0.1,4,40.0
111,1709576124,,977274444.0,0.47,4,40.0
112,1709592356,986447724.0,975806289.0,3.41,4,40.0
113,1709621294,988362188.0,975918520.0,2.92,4,40.0
114,1709689469,973502387.0,972558081.0,4.13,4,40.0
115,1709757435,986609499.0,,4.54,4,40.0
116,1709775135,988494028.0,,-1.43,4,40.0
117,1709802821,985800835.0,968306103.0,1.69,4,40.0
118,1709834459,965713822.0,957458000.0,6.24,4,40.0
